English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
I say good riddance to those horrendous institutions of suffering.,"Ich sage: Gut, dass wir diese schrecklichen Institutionen des Leidens los sind.",,,,,
"It was quite the undertaking, and an incredibly complex project, but it was worth it in the end.","Es war ein sehr schwieriges und unglaublich komplexes Unterfangen, aber es hat sich am Ende wirklich gelohnt.",,,,,
"I can sleep soundly tonight knowing that no animal is at risk of being hunted, whether by humans or by other animals.","Ich kann diese Nacht viel besser schlafen, weil ich weiß, dass kein Tier mehr in der Angst leben muss, dass es von Menschen oder anderen Tieren gejagt wird.",,,,,
We've been able to collect much more dynamic data about how the Earth is changing after establishing new kinds of studies.,Wir konnten durch die neuen Studien viel bessere Daten über die Veränderung der Erde sammeln.,,,,,
"The city air feels fresher somehow, you know?","Die Luft in den Städten ist irgendwie besser, verstehen Sie?",,,,,
...and these new systems are clogging up the roads and make driving a pain.,.. und diese neuen Systeme verstopfen die Straßen und machen Autofahren zu einer Qual.,,,,,
(even though I don't use it myself),(auch wenn ich sie selbst nicht benutze.),,,,,
Well I'm all for public transit...,"Nun, ich bin für öffentlichen Personentransport.",,,,,
Communities affected most by highway infrastructure are experiencing less air pollution and increased health.,Ortschaften die besonders von Autobahn-Infrastruktur betroffen sind melden weniger Luftverschmutzung und verbesserte Gesundheit.,,,,,
I guess less people are driving now that public transit is so convenient.,"Ich vermute, dass weniger Leute Autofahren nachdem der öffentliche Personenverkehr so komfortabel geworden ist.",,,,,
I feel way less guilty about eating meat now!,Ich fühle mich bei weitem nicht mehr so schlecht wenn ich jetzt Fleisch esse!,,,,,
This is a bunch of incrementalist garbage!,Das ist ein Haufen inkrementeller Müll!,,,,,
Slaughterhouse jobs have also gotten much less grim.,Berufe in Schlachthäusern sind weniger düster geworden.,,,,,
"A bigger cage is still a cage, and a death sentence still a death sentence!",Ein größerer Käfig ist immer noch ein Käfig und ein Leben für die Schlachtung immer noch ein Leben für die Schlachtung!,,,,,
"But it's gotten harder to find meat, which I'm not happy about.",Aber es wird immer schwieriger Fleisch zu finden und das kann ich nicht begrüßen!,,,,,
Slaughterhouse jobs are better now,Schlachtberufe sind viel besser geworden,,,,,
These robots are...ok.,Diese Roboter sind... ok.,,,,,
"But they've freed up some time, so I'm happy about that.",Aber sie haben uns Freizeit gewonnen und darüber bin ich froh.,,,,,
"They still can't handle a lot of environmental conditions encountered on a farm, but they've found some consistent uses.","Sie können immer noch nicht mit vielen Umweltbedingungen in der Landwirtschaft umgehen, aber sie haben einige beständige Anwendungen gefunden.",,,,,
"Nothing compared to my AI, but I don't have to manipulate delicate plants or tread through muddy soil!","Das ist nichts im Vergleich zu meiner künstlichen Intelligenz, aber ich muss nicht mit empfindlichen Pflanzen hantieren oder durch schlammigen Boden stapfen!",,,,,
And they kill *a lot* of bugs and other critters...,And sie töten *eine Menge* Käfer und anderes Getier.,,,,,
Success!,Erfolg!,,,,,
"It was always 20 years in the future, and it seems like it actually was.","Es war immer 20 Jahre in der Zukunft, und es scheint, als ob es tatsächlich so war.",,,,,
"It's not *free* energy, but it's a lot better than what we had before.","Es ist keine *freie* Energie, aber es ist um einiges besser als das, was wir davor hatten.",,,,,
Our research has failed.,Unsere Forschung ist fehlgeschlagen.,,,,,
Fusion power might never become a reality...,Fusionsenergie wird vermutlich niemals Realität...,,,,,
"The experiment succeeded in drawing down carbon from the atmosphere, but it had an uninteded side-effect...","Das Experiment Kohlenstoff aus der Atmosphäre zu filtern war erfolgreich, allerdings mit einem unerwarteten Seitenerffekt...",,,,,
"The rotting algae formed anoxic dead zones on the abyssal plains, killing much ocean life...","Die verrotteten Algen haben eine anaerobe Todeszone über den Tiefseepflanzen gelegt, wodurch viel Leben im Ozean gestorben ist...",,,,,
"The abundance of diatoms not only sequestered carbon, but fed millions of salmon fry and other marine life. This was a great success!","Der Überfluss an Kieselalgen bindet nicht nur Kohlenstoff, sondern ernährt auch Millionen von Lachsbrut und andere Meeresbewohner. Das war ein großer Erfolg!",,,,,
"I suppose iron wasn't a major limiting nutrient, because the blooms of diatoms are rather minor.","Ich nehme an, dass Eisen kein wichtiger limitierender Nährstoff war, denn die Kieselalgenblüte ist eher gering.",,,,,
Back to the drawing board!,Zurück zum Zeichenblock!,,,,,
"Demilitarization resulted in a significant drop in global emissions, as well as an increase in global outlook and untold tons of salvageable metals.",Die Entmilitarisierung führte zu einem erheblichen Rückgang der weltweiten Emissionen sowie zu einem Anstieg der weltweiten Aussichten und ungezählten Tonnen verwertbarer Metalle.,,,,,
We're totally defenceless now...,Wir haben keinerlei Verteidigung mehr...,,,,,
Don't expect me to help you when you're in a fix.,"Erwarte nicht, dass ich dir helfe wenn du in der Klemme steckst.",,,,,
"I'm glad you agreed to trust me. I'll make things easier for you, but don't ask me how I do it.","Ich danke dir für dein Vertrauen. Ich werde dir die Dinge erleichtern, aber frag mich nicht wie.",,,,,
"I know the guy who makes these beautiful wines, no sulfates, all natural.","Ich kenne den Typen, der diesen wundervollen Wein ohne Sulfate und völlig natürlich herstellt.",,,,,
We should go up to see his vineyard sometime.,Wir sollten uns irgendwann mal sein Weinfeld anschauen.,,,,,
It's nice to have resources directed towards our countries for once.,"Es ist schön, dass wir endlich Ressourcen zwischen unseren Ländern verteilen können.",,,,,
"Maybe not...but this is a gesture of good faith, at least.",Vielleicht auch nicht.. aber es ist immer hin ein Zeichen der Güte.,,,,,
Will it ever match the wealth that was stolen from us?,"Ob es jemals den Reichtum, der uns gestohlen worden ist, ausgleichen wird?",,,,,
I don't think the planet can sustain it!,"Ich glaube nicht, dass der Planet das verkraften kann!",,,,,
You do realize that not everyone can enjoy a high standard of living?,"Du realisierst schon, dass nicht jeder einen hohen Lebensstandard haben kann, oder?",,,,,
What are you doing?,Was tust du?,,,,,
...this kind of regression isn't necessary..,.. diese Art der Regression ist nicht nötig..,,,,,
"...with the right technology and conditions, no one has to give anything up...",.. mit der richtigen Technologie und den richtigen Voraussetzungen muss niemand irgendetwas aufgeben...,,,,,
"You're supposed to make things better, not worse!",Du solltest die Dinge besser machen und nicht schlechter!,,,,,
It's about time that we recognize who the main perpetrators of all these crises are.,Wir sollten realisieren wer die Hauptverantwortlichen für all diese Krisen sind.,,,,,
"With the restoration of the Satoyama forests, students and senior citizens work with farmers to plant rice and clear irrigation channels. ","Bei der Wiederherstellung der Satoyama-Wälder arbeiten Studenten und Senioren mit Landwirten zusammen, um Reis zu pflanzen und Bewässerungskanäle zu reinigen. ",,,,,
We call ourselves the Matsutake Crusaders. Our co-op has been working together to condition the forest for Matsutake mushrooms to thrive again.,"Wir nennen uns die Matsutake-Kreuzritter. Unsere Genossenschaft arbeitet gemeinsam daran, den Wald so zu gestalten, dass die Matsutake-Pilze wieder gedeihen können.",,,,,
"So many more wonderful trees make habitats and store carbon, while still supporting food production.",So viele wunderschöne Bäume stellen wertvolle Lebensräume da und speichern Kohlenstoff und können dabei noch die Lebensmittelproduktion unterstützen.,,,,,
How exciting!,Wie aufregend!,,,,,
I quite like working under the canopy...the shade's nice.,Ich mag es irgendwie unter dem Vordach zu arbeiten... der schöne Schatten.,,,,,
I thought I would hate the inconvenience of not being able to fly...,"Ich hätte gedacht, dass ich die Unannehmlichkeiten des Nicht-Fliegens hassen würde...",,,,,
but who doesn't like trains?,... aber wer mag denn bitte keine Züge?,,,,,
"It may appear extreme to some, but sometimes you have to be a little tough with people to keep nature safe.","Es scheint vielleicht für manche etwas extrem wirken, aber manchmal musst du harte Entscheidungen treffen um die Umwelt zu retten.",,,,,
"Some people just don't know any better, you know what I mean?","Einige Leute werden es einfach nicht kapieren, verstehst du?",,,,,
"If we've still got to combust things for energy, this is at least an improvement.","Wenn wir dennoch Dinge für Energie verbrennen müssen, ist es zumindest eine Verbesserung.",,,,,
Reducing energy consumption is an easy way to protect the grid and minimize environmental impact.,Den Energiebedarf zu senken ist ein leichter Weg um das Stromnetz zu schützen und den Einfluss auf die Umwelt zu minimieren.,,,,,
How can anyone survive on such a pathetic amount of energy?,Wie soll jemand mit einer so geringen Energiemenge überleben?,,,,,
Reducing,Reduzieren...,,,,,
These restrictions have been ridiculous!,Diese Einschränkungen sind lächerlich!,,,,,
I'm sure I won't.,Ich werde das sicher nicht tun!,,,,,
I've lived decently on less energy than this...I'm sure you'll get used to it.,"Ich konnte mit dieser geringen Energiemenge gut leben... Ich bin sicher, dass Sie das auch schaffen.",,,,,
"Wow, we've produced more than fourteen times the usual quota this year alone.","Wow, wir haben dieses Jahr mehr als das 40-fache von der üblichen Quote produziert.",,,,,
My back hurts from these long work hours. I hope it's worth it...,"Mein Rücken tut von den vielen Arbeitsstunden weh.. ich hoffe, es lohnt sich...",,,,,
"We were able to bring back the passenger pigeon, but this quickly became an exotic poultry dish leading to its extinction again.","Wir konnten die Wandertaube wieder einführen. Allerdings wurde sie schnell zu einem exotischen Geflügelgericht, wodurch sie wieder vor der Ausrottung steht.",,,,,
And now I'm getting a lot of requests to use this technology for designer dogs.,"Und ich bekomme eine Menge Anfrangen, diese Technologie für Designer-Hunde anzuwenden.",,,,,
We succeeded in cloning some lost species and successfully re-introduced them into their original ecosystems.,Wir konnten erfolgreich verloren gegangene Spezien zurückholen und sie erfolgreich in ihre ursprünglichen Lebensräume integrieren.,,,,,
Surprisingly there haven't been any major issues.,Überraschenderweise gab es keine großen Probleme.,,,,,
"We succeeded in cloning some lost species, but they all were either short-lived or could not survive in the wild.","Wir konnten erfolgreich verloren gegangene Spezien zurückholen, aber einige sind nicht sehr alt geworden oder konnten in der Wildnis nicht überleben.",,,,,
So far we've seen a modest decrease in temperatures.,Bislang haben wir nur einen geringen Rückgang der Temperatur beobachtet.,,,,,
I don't know how long it will last though.,Ich weiß nicht wie lange das funktionieren wird.,,,,,
The temporary cooling has reversed.,Die vorübergehende Abkühlung hat sich wieder umgekehrt.,,,,,
We've shifted quite a lot of petroleum-based plastic to these new biofabrication methods.,Wir konnten eine Menge dieses ölbasierten Plastiks durch neue Biofasermethoden ersetzen.,,,,,
"Still, we're at least introducing less new CO2 into the atmosphere by avoiding some fossil fuel usage.",Immerhin bringen wir weniger CO2 durch die Verwendung fossiler Brennstoffe in die Athmosphäre ein.,,,,,
But--even though we use far less plastic than we did pre-revolution--the amount of biomass available still isn't enough to fully replace petroleum-based plastics.,"Aber - obwohl wir viel weniger Plastik verwenden als vor der Revolution - reicht die verfügbare Menge an Biomasse immer noch nicht aus, um Kunststoffe auf Erdölbasis vollständig zu ersetzen.",,,,,
The high seas fishing ban has had benefits...,Das Verbot von Hochseefischerei hat Erfolg..,,,,,
but they have been limited since less than 10% of global fish catch was on the high seas.,aber es hat auch Grenzen da nur weniger als 10% der globalen Fischerei auf Hochsee stattfindet.,,,,,
Maybe we ought to consider a blanket ban on industrial fishing?,Vielleicht sollten wir über ein generelles Verbot der industriellen Fischerei nachdenken?,,,,,
We were able to capture the Davida asteroid and steer it within Earth's orbit and unleash a tremendous amount of lithium and rare earth metals.,"Es ist uns gelungen, den Asteroiden Davida einzufangen und in die Erdumlaufbahn zu lenken, wodurch eine enorme Menge an Lithium und Seltenerdmetallen freigesetzt wurde.",,,,,
...no doubt many evironmentally-destructive mining practices will become obsolete...,"... es gibt keinen Zweifel daran, dass viele umweltzerstörerische Bergbaupraktien damit überflüssig werden...",,,,,
"I want my fresh local swordfish, tuna, lobster and crabmeat! ","Ich will meinen frischen Schwertfisch, Thunfisch, Hummer und Krabbenfleisch aus der Region! ",,,,,
Now I can't get any of it...,Jetzt bekomme ich gar nichts mehr davon...,,,,,
The hairy-nosed otter (Lutra sumatrana) has been seen again!,Die Haarnasenotter (Lutra sumatrana) wurde wieder gesichtet!,,,,,
Otters are the best :),Otter sind großartig :),,,,,
"Now a popular manga mascot, this rare otter represents hope and honor.",Dieser seltene Otter ist heute ein beliebtes Manga-Maskottchen und steht für Hoffnung und Ehre.,,,,,
Biodiversity in the oceans is bouncing back!,Die Artenvielfalt in den Ozeanen erholt sich!,,,,,
We've seen recovery of old oyster beds and the return of massive schools of cod and sardines.,"Wir haben gesehen, wie sich alte Austernbänke erholen und riesige Kabeljau- und Sardinenschwärme zurückkehren.",,,,,
"More wolves, lions, cougars, and other large predators means more livestock have been attacked!","Mehr Wölfe, Löwen, Pumas und andere große Raubtiere bedeuten, dass mehr Nutztiere angegriffen werden!",,,,,
We've improved efficiency of this process and converted existing steel manufacturing facilities to use it.,Wir haben die Effizienz dieses Verfahrens verbessert und bestehende Stahlproduktionsanlagen auf dieses Verfahren umgestellt.,,,,,
"Fish aquaculture may have sustained seafood production, but it only shifted fishing pressure from large fish to smaller ones.","Die Aquakultur mag die Produktion von Meeresfrüchten aufrechterhalten haben, aber sie hat den fischereilichen Druck nur von großen auf kleinere Fische verlagert.",,,,,
It also incubated new fish pathogens.,Außerdem wurden dort neue Fischkrankheitserreger ausgebrütet.,,,,,
This new battery network will help a lot with large-scale electrification and improving reliability.,Dieses neue Batterienetz wird einen großen Beitrag zur großflächigen Elektrifizierung und zur Verbesserung der Zuverlässigkeit leisten.,,,,,
I think it's a great shame that eels and frogs don't get the same attention as polar bears and penguins.,"Ich finde es sehr schade, dass Aalen und Fröschen nicht die gleiche Aufmerksamkeit zuteil wird wie Eisbären und Pinguinen.",,,,,
Around 40 percent of all plant and animal species rely on these wetlands.,Rund 40 Prozent aller Pflanzen- und Tierarten sind auf diese Feuchtgebiete angewiesen.,,,,,
"Our slimy friends should be much happier now- along with geese, deer, and all the life in and around these wetlands.","Unsere schleimigen Freunde sollten jetzt viel glücklicher sein - zusammen mit Gänsen, Rehen und all dem Leben in und um diese Feuchtgebiete.",,,,,
"We've successfully built a space elevator, putting the stars one step closer.",Wir haben erfolgreich einen Weltraumfahrstuhl gebaut und sind damit den Sternen einen Schritt näher gekommen.,,,,,
"We're in a better position to expand space activities, if you so choose.","Wir sind in einer besseren Position, um die Weltraumaktivitäten zu erweitern, wenn Sie das wünschen.",,,,,
I'm so excited to try it out!,Ich freue mich so darauf es auszuprobieren!,,,,,
I found it surprisingly easy to cut meat out of my diet once a week.,"Es fiel mir überraschend leicht, einmal in der Woche kein Fleisch zu essen.",,,,,
"There are certain meals that feature meat that are important to me, and I would hate to lose them.","Es gibt bestimmte fleischhaltige Mahlzeiten, die mir wichtig sind, und ich würde sie nur ungern aufgeben.",,,,,
This feels like a slippery slope...,Das fühlt sich an wie ein Ausrutscher...,,,,,
But cutting it out every once in awhile feels reasonable to me.,"Aber ab und zu eine Pause zu machen, halte ich für vernünftig.",,,,,
These last few years have been miserable.,Die letzten paar Jahre waren miserabel.,,,,,
This was long overdue!,Das war längst überfällig!,,,,,
"Sure, I get eating less meat, but banning it entirely?","Sicher, ich kann verstehen, dass man weniger Fleisch essen sollte, aber es ganz verbieten?",,,,,
You're mad with power--how was this a good idea?,Die Macht macht dich irre -- wo war das bitte eine gute Idee?,,,,,
Can't we just figure out more sustainable and ethical ways to produce meat?,Können wir nicht einfach nachhaltigere und ethischere Wege der Fleischproduktion finden?,,,,,
"Did you know that green roofs can reflect up to 80% of the solar energy hitting it, back into space?? ","Wussten Sie, dass begrünte Dächer bis zu 80 % der auf sie auftreffenden Sonnenenergie zurück in den Weltraum reflektieren können? ",,,,,
And it's nice to have an additional green space to enjoy.,"Und es ist schön, eine zusätzliche Grünfläche zu haben, die man genießen kann.",,,,,
I've noticed that my apartment's temperature is much more consistent now...,"Ich habe festgestellt, dass die Temperatur in meiner Wohnung jetzt viel gleichmäßiger ist...",,,,,
"My kids stopped complaining as much, at least.",Meine Kinder haben sich zumindest nicht mehr so oft beschwert.,,,,,
Biochar is doing wonders for my fields.,Biokohle wirkt Wunder auf meinen Feldern.,,,,,
"Biochar is great for carbon sequestration, but removing so much composting vegetation from ecosystems may cause problems.","Biokohle ist großartig für die Kohlenstoffbindung, aber die Entfernung von so viel kompostierender Vegetation aus den Ökosystemen kann Probleme verursachen.",,,,,
Good to know that the soil can hold carbon for centuries!,"Gut zu wissen, dass der Boden über Jahrhunderte Kohlenstoff speichern kann!",,,,,
The soil is richer than what I had before.,"Der Boden ist reicher als der, den ich vorher hatte.",,,,,
The ban on outdoor cats is going well.,Das Verbot von Freigängerkatzen läuft gut.,,,,,
Wild to think how much damage those critters can do!,"Unglaublich, wie viel Schaden diese Viecher anrichten können!",,,,,
" I agree, the battle to feed all of humanity is over.","Ich stimme zu, der Kampf um die Ernährung der gesamten Menschheit ist vorbei.",,,,,
It's wrong to lock people up in cages. As a socialist society we can do better than this!,"Es ist falsch, Menschen in Käfige zu sperren. Als sozialistische Gesellschaft können wir es besser machen!",,,,,
"If you do this, don't expect help when you need some brute force to back you up...","Wenn Sie das tun, erwarten Sie nicht, dass Ihnen geholfen wird, wenn Sie rohe Gewalt brauchen, um Sie zu unterstützen...",,,,,
Significant amounts of carbon were locked into human structures and wide-scale reforestation helped to buffer the ecological strain of increased logging.,"Erhebliche Mengen an Kohlenstoff wurden in menschlichen Infrastrukturen gebunden, und die großflächige Wiederaufforstung trug dazu bei, die ökologische Belastung durch die zunehmende Abholzung abzufedern.",,,,,
"Significant amounts of carbon was locked into human structures, but the increase in logging put a serious strain on forest ecosystems.","Erhebliche Mengen an Kohlenstoff wurden in menschlichen Infrastrukturen gebunden, aber die zunehmende Abholzung stellte eine ernsthafte Belastung für die Waldökosysteme dar.",,,,,
Animal husbandry takes up far too much room! Hard trade-offs must be made.,Die Tierhaltung nimmt viel zu viel Platz in Anspruch! Es müssen harte Abstriche gemacht werden.,,,,,
A genetically altered strain of Nannochloropsis is able to produce a higher concentration of lipids for biofuel and butanol.,"Ein gentechnisch veränderter Stamm von Nannochloropsis ist in der Lage, eine höhere Konzentration von Lipiden für Biokraftstoff und Butanol zu produzieren.",,,,,
We can now grow and deploy algae-based biofuels at scale.,Wir können jetzt Biokraftstoffe auf Algenbasis in großem Maßstab anbauen und einsetzen.,,,,,
Adaptations like non-tillage and cover crops made a notable difference in terms of carbon and water retention in soil.,Anpassungen wie der Verzicht auf die Bodenbearbeitung und der Anbau von Deckfrüchten haben einen erheblichen Einfluss auf die Kohlenstoff- und Wasserspeicherung im Boden.,,,,,
"Socialism is for the working class, but it isn't about work. ","Der Sozialismus ist für die Arbeiterklasse, aber er hat nichts mit Arbeit zu tun. ",,,,,
"Just chill, comrade.","Entspann dich, Genosse!",,,,,
"Great!, let's go hang out by the water.","Großartig, lass uns ans Meer fahren!",,,,,
There has been an increase in acid rain. Delicately synchronized ecologies have been disturbed too.,Der saure Regen hat zugenommen. Auch die fein aufeinander abgestimmten Ökologien sind gestört worden.,,,,,
"Some areas have experienced cooling, but without significant emissions abatement, SRM needs to be ramped up to keep pace. ","In einigen Gebieten ist es zu einer Abkühlung gekommen, aber ohne signifikante Emissionsminderung muss das SRM beschleunigt werden, um Schritt zu halten. ",,,,,
"A number of deep sea mining operations have sprouted up, opening up a steady supply of many important metals and minerals.","Eine Reihe von Tiefseebergbaubetrieben ist entstanden, die eine ständige Versorgung mit vielen wichtigen Metallen und Mineralien ermöglichen.",,,,,
Maybe it's worth it?,Vielleicht war es das wert?,,,,,
"It has however disrupted the lives of those living down there, and plumes of effluent have clouded large parts of the oceans.","Sie hat jedoch das Leben der dort unten lebenden Menschen gestört, und die Abwässer haben große Teile der Ozeane getrübt.",,,,,
"There has been a rapid decline in fatalities from car accidents, which were on the order of millions of deaths per year.",Die Zahl der durch Autounfälle verursachten Todesfälle ist rapide zurückgegangen und lag in der Größenordnung von mehreren Millionen pro Jahr.,,,,,
Air quality is better too!,Die Luftqualität ist auch besser!,,,,,
...let alone,.. geschweige denn,,,,,
Why are you taking so many things away from me!,Warum nimmst du mir so viele Dinge weg!,,,,,
"It was a fair bit of work, but everyone appreciates upgrading old housing stock.","Es war ein ziemliches Stück Arbeit, aber jeder weiß es zu schätzen, wenn alte Wohngebäude aufgewertet werden.",,,,,
"I myself love the calm silence of a passive house. HVAC can be so noisy, eh?","Ich selbst liebe die ruhige Stille in einem Passivhaus. Die Haustechnik kann so laut sein, nicht wahr?",,,,,
Reduced deforestation has helped avoid a great deal of carbon emissions...,"Die reduzierte Abholzung hat dazu beigetragen, einen großen Teil der Kohlenstoffemissionen zu vermeiden...",,,,,
...not to mention that this recognition of sovereignty is long overdue.,"...ganz zu schweigen davon, dass diese Anerkennung der Souveränität längst überfällig ist.",,,,,
We had collected most of our samples but then a massive blackout spoiled everything...,"Wir hatten die meisten unserer Proben gesammelt, aber dann machte ein massiver Stromausfall alles zunichte...",,,,,
We were able to successfully develop the Ark and collect samples of a majority of the remaining species.,"Es ist uns gelungen, die Arche erfolgreich zu entwickeln und Proben von einem Großteil der verbleibenden Arten zu sammeln.",,,,,
"We can now deploy fast-breeder reactors, which will help alleviate uranium shortages by burning spent nuclear waste. ","Wir können jetzt schnelle Brutreaktoren einsetzen, die durch die Verbrennung verbrauchter nuklearer Abfälle dazu beitragen werden, die Uranknappheit zu verringern. ",,,,,
We were never able to overcome the reprocessing and fuel fabrication balance challenges. It's time to throw in the towel.,"Wir waren nie in der Lage, die Herausforderungen der Wiederaufbereitung und der Brennstoffherstellung zu bewältigen. Es ist an der Zeit, das Handtuch zu werfen.",,,,,
There are too many people living into old age and not enough young people to take care of them!,"Es gibt zu viele Menschen, die bis ins hohe Alter leben, und nicht genug junge Menschen, die sich um sie kümmern!",,,,,
The gender ratio has shifted as people prefer to have girls rather than boys.,"Das Geschlechterverhältnis hat sich verschoben, da die Menschen lieber Mädchen als Jungen haben wollen.",,,,,
The mission was a success!,Die Mission war ein Erfolg!,,,,,
"I mean, I'm ambivalent on the whole fossil fuels thing, but I'm excited about further space expeditions.","Ich meine, ich stehe der Sache mit den fossilen Brennstoffen zwiespältig gegenüber, aber ich bin begeistert von weiteren Weltraumexpeditionen.",,,,,
I'm stoked I can spend 24/7 in space now!,"Ich bin begeistert, dass ich jetzt 24/7 im Weltraum verbringen kann!",,,,,
...we can finally start moving all our dirty industry off-planet...,"...können wir endlich damit beginnen, unsere ganze schmutzige Industrie vom Planeten zu verlagern...",,,,,
This will also be our launch pad to go deeper into space.,"Dies wird auch unsere Startrampe sein, um tiefer in den Weltraum vorzudringen.",,,,,
"With automation comes more efficient use of materials, and better product quality.",Die Automatisierung führt zu einer effizienteren Nutzung von Materialien und einer besseren Produktqualität.,,,,,
We are able to shorten the work week while still maintaining high rates of production.,"Wir sind in der Lage, die Wochenarbeitszeit zu verkürzen und trotzdem hohe Produktionsraten zu erzielen.",,,,,
"Many industries have successfully relocated the bulk of their operations into space, reducing planetside pollution and emissions.",Viele Industriezweige haben den Großteil ihrer Tätigkeiten erfolgreich in den Weltraum verlagert und damit die Umweltverschmutzung und die Emissionen auf dem Planeten reduziert.,,,,,
"Many industries relocated to space, but are rife with corruption and exploitation, so few are willing to work there.","Viele Industriezweige wurden in den Weltraum verlagert, sind aber von Korruption und Ausbeutung geprägt, so dass nur wenige bereit sind, dort zu arbeiten.",,,,,
"Moving major industries into space proved to be way more complicated than anticipated, so most have remained planetside.","Die Verlagerung von Großindustrien in den Weltraum erwies sich als viel komplizierter als erwartet, so dass die meisten auf dem Planeten geblieben sind.",,,,,
But we,Aber wir..,,,,,
Our experiments were beset by disaster upon disaster.,Unsere Versuche wurden von einer Katastrophe nach der anderen heimgesucht.,,,,,
We weren't able to create a fully closed ecology...,"Wir waren nicht in der Lage, eine vollständig geschlossene Ökologie zu schaffen...",,,,,
But we learned a lot!,Aber wir haben eine Menge gelernt!,,,,,
We managed to create a self-sustaining environment--a necessary step for manned space exploration.,"Es ist uns gelungen, eine sich selbst erhaltende Umgebung zu schaffen - ein notwendiger Schritt für die bemannte Erforschung des Weltraums.",,,,,
I struggled a bit with shifting to a vegetarian diet...,Die Umstellung auf eine vegetarische Ernährung fiel mir etwas schwer...,,,,,
"And I can still enjoy some milk and cheese, which has also made the transition easier.","Und ich kann immer noch Milch und Käse genießen, was die Umstellung ebenfalls erleichtert hat.",,,,,
but there's been such an explosion of creative vegetarian recipes and techniques that I haven't found myself missing meat.,"aber es gab eine solche Explosion an kreativen vegetarischen Rezepten und Techniken, dass ich kein Fleisch vermisst habe.",,,,,
How cruel of you to forever condemn us to lives of poverty while others continue to live in absurd excess.,"Wie grausam von Ihnen, uns für immer zu einem Leben in Armut zu verdammen, während andere weiterhin in absurdem Überfluss leben.",,,,,
It's not our poverty that threatens the world but their wasteful extravagance!,"Nicht unsere Armut bedroht die Welt, sondern ihre verschwenderische Extravaganz!",,,,,
There just isn't enough earth for everyone to live well.,"Es gibt einfach nicht genug Erde für alle, um gut zu leben.",,,,,
"I, for one, am relieved.",Ich für meinen Teil bin erleichtert.,,,,,
We only joined the revolution because we agreed to put that in the past!,"Wir haben uns der Revolution nur angeschlossen, weil wir uns bereit erklärt haben, das hinter uns zu lassen!",,,,,
...a tough but necessary decision.,"...eine schwierige, aber notwendige Entscheidung.",,,,,
"We can now deploy thorium reactors, which use a far more abundant fuel and create far less radioactive waste.","Wir können jetzt Thoriumreaktoren einsetzen, die einen weitaus häufiger vorkommenden Brennstoff verwenden und weitaus weniger radioaktive Abfälle erzeugen.",,,,,
"All of the pipelines, pump stations, and wind farms have caused some ecological disruption to polar ecosystems.","Alle Pipelines, Pumpstationen und Windparks haben zu einer gewissen ökologischen Beeinträchtigung der polaren Ökosysteme geführt.",,,,,
I'm not surprised...,Das überrascht mich nicht...,,,,,
The ecological education initiative is going great!,Die ökologische Bildungsinitiative läuft hervorragend!,,,,,
People are learning about their local ecology and finding better ways of interacting and relating to the life around them.,"Die Menschen lernen etwas über ihre lokale Ökologie und finden bessere Möglichkeiten, mit dem Leben um sie herum zu interagieren und in Beziehung zu treten.",,,,,
This policy has opened up vast new reserves of oil for us to use.,Diese Politik hat uns riesige neue Ölreserven erschlossen.,,,,,
"It's dirtier, and worse for neighbouring wildlife...",Es ist schmutziger und schlechter für die benachbarte Tierwelt...,,,,,
but we have enough to last for a while now.,"aber wir haben jetzt genug, um eine Weile durchzuhalten.",,,,,
We are all soy boys now,Wir sind jetzt alle Soja-Jungs,,,,,
I worry that you have a tendency to go too far with your plans...,"Ich befürchte, dass Sie dazu neigen, mit Ihren Plänen zu weit zu gehen...",,,,,
Surely there is a way,Sicherlich gibt es einen Weg,,,,,
"I mean, couldn't I just get an electric version?","Ich meine, könnte ich nicht einfach eine elektrische Version kaufen?",,,,,
Electrifying automobiles significantly decreased transport emissions and did wonders for urban air pollution...,Die Elektrifizierung des Automobils hat die verkehrsbedingten Emissionen deutlich gesenkt und die Luftverschmutzung in den Städten auf wundersame Weise verringert...,,,,,
Maybe you should reconsider the dominance of cars in our public infrastructure?,Vielleicht sollten Sie die Dominanz des Autos in unserer öffentlichen Infrastruktur überdenken?,,,,,
"...but at a high cost in electricity and lithium, without doing anything to improve transportation access or traffic deaths.","...aber zu hohen Strom- und Lithiumkosten, ohne dass die Verkehrsanbindung oder die Zahl der Verkehrstoten verbessert wird.",,,,,
Finally! This moment couldn't come any sooner.,Endlich! Dieser Moment hätte nicht früher kommen können.,,,,,
The success of this initiative will depend on our ability to offer equitable alternative livelihoods for people who work in the wildlife trade.,"Der Erfolg dieser Initiative wird davon abhängen, ob wir in der Lage sind, den Menschen, die im Wildtierhandel tätig sind, eine gerechte alternative Lebensgrundlage zu bieten.",,,,,
How does one define 'exotic'? My family has bred bettas for many years. Now we are forced onto the black market.,"Wie kann man ""exotisch"" definieren? Meine Familie hat viele Jahre lang Bettas gezüchtet. Jetzt sind wir gezwungen, auf den Schwarzmarkt zu gehen.",,,,,
"Hempcrete locked in a fair amount of carbon, but there are a few applications where it can't compete with conventional concrete.","Hanfbeton schloss eine beträchtliche Menge an Kohlenstoff ein, aber es gibt einige Anwendungen, bei denen er nicht mit herkömmlichem Beton konkurrieren kann.",,,,,
