English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
"These jobs might not be fun, but you can afford that fancy electric car or a trip to Cuba (for the beach, not the planning bureau). ","Estes trabalhos podem não ser agradáveis, mas poderás comprar aquele carro elétrico chique ou uma viagem para Cuba (para a praia, não para o gabinete de planificação)",,,,,
"Closing the border is a tough decision, I know.","Fechar a fronteira é uma decisão difícil, eu sei.",,,,,
...and people are always the most troublesome variable.,...e as pessoas são sempre a variável mais problemática.,,,,,
All these problems become easier to manage if you can simplify your variables...,Todos estes problemas ficam mais fáceis de gerir se puderes simplificar as suas variáveis...,,,,,
But it's for the greater good. Otherwise things would spiral out of control.,"Mas é para um bem maior. Caso contrário, as coisas sairiam do controle.",,,,,
This didn't really do much.,Isto não ajudou muito.,Isto não adiantou de muito.,,,,
This didn't really do much.,Isto não ajudou muito.,Isto não adiantou de muito.,,,,
The students have organized a local group to implement multistrata agroforestry. Will you support them?,Os estudantes organizaram um grupo local para implementar a agrossilvicultura multiestratificada. Vais apoiá-los?,,,,,
"Multistrata agroforestry is a system for various types of crops to benefit each other, while also being a place where people of different ages and professions can work together.","A agrossilvicultura multiestratificada é um sistema para que vários tipos de cultivos se beneficiem mutuamente, além de ser um local onde pessoas de diferentes idades e profissões podem trabalhar juntas.",,,,,
We did it!,Conseguimos!,,,,,
"We've built the perfect self-sufficient biosphere with built-in systems to manage air, water, food and electricity.","Construímos a biosfera autossuficiente perfeita com sistemas integrados para gerir o ar, água, alimentos e eletricidade.",,,,,
"I'm not sure anyone would want to *live* in these domes, but they provide a great environment for research.","Não tenho certeza se alguém gostaria de *viver* nestas cúpulas, mas elas proporcionam um ótimo ambiente para investigação.",,,,,
"While the center bio-dome monitors life-support operations, humans, plants and animals would live and interact in the surrounding domes.","Enquanto o biodomo central monitora as operações de suporte à vida, humanos, plantas e animais viveriam e interagiriam nos domos circundantes.",,,,,
"It was a major effort, but it will be worthwhile. AMR might kill ten million people a year.","Foi um grande esforço, mas vai valer a pena. A resistência a antibióticos pode matar dez milhões de pessoas por ano.",,,,,
It would be better if we addressed the causes of AMR by shrinking the industrial livestock industry and improving living standards in the Global South...,"
Seria melhor se abordássemos as causas da resistência a antibióticos diminuindo a indústria pecuária industrial e melhorando os padrões de vida no Sul Global...",,,,,
We have taken over the global parliament and sent the legislators home.,Assumimos o parlamento global e mandamos os legisladores para casa.,,,,,
The revolution that overthrew capitalism was not so long ago.,Não faz muito tempo que a revolução derrubou o capitalismo.,,,,,
They can rise up again.,Eles podem voltar.,,,,,
You will be able to pass any laws you want by decree.,Poderás aprovar quaisquer leis que desejares por decreto.,,,,,
"Yet, the people are seething underneath your boot.","No entanto, as pessoas estão a ferver debaixo da tua bota.",,,,,
We've seen a modest boost in crop yields from this new infrastructure.,Vimos um aumento modesto no rendimento das colheitas com esta nova infraestrutura.,,,,,
"Strangely, we keep getting emails from the spinach saying they want 10x as much nitrogen than necessary.","Estranhamente, não paramos de receber mensagens dos espinafres, a dizer que querem 10 vezes mais nitrogênio do que o necessário.",,,,,
Well the mining initiative was a success!,"Bem, a iniciativa de mineração foi um sucesso!",,,,,
"We've tapped into enough tritium to cover our fusion needs for, well, forever as far as I can tell.","Aproveitamos trítio suficiente para cobrir as nossas necessidades de fusão, enfim, para sempre, até onde posso dizer.",,,,,
Quite a lot of people have made the move to the countryside.,Muitas pessoas mudaram-se para o campo.,,,,,
Most have reported it as an improvement in their quality of life.,A maioria relatou isso como uma melhora na qualidade de vida.,,,,,
"It's a lot quieter, and the fresh air has done wonders for me.",Há muito menos ruído e o ar puro é uma maravilha.,,,,,
Organic and fossil-free agriculture requires more labor than industrial farming.,A agricultura orgânica e livre de fósseis requer mais mão de obra do que a agricultura industrial.,,,,,
You hear that?,Ouves?,,,,,
...just the sweet hum of electricity.,...apenas o doce zumbido da eletricidade.,,,,,
"No more roaring and rattling of engines, the sputtering and belching of combustion...","Chega de rugidos e ruídos de motores, crepitações e arrotos de combustão...",,,,,
...music to my ears.,...música para meus ouvidos.,,,,,
I love watching old shows that I've already seen a dozen times.,Adoro ver séries antigas que já vi uma dúzia de vezes.,,,,,
Something about it makes me feel comforted by the nostalgia.,"A nostalgia delas deixa-me confortada, não sei bem porquê.",,,,,
Droughts aren't nearly as devastating as they once were thanks to these new varieties.,"As secas não são tão devastadoras quanto antes, graças a estas novas variedades.",,,,,
Glad I can rest a bit easier now.,"Que bom poder descansar um pouco, agora.",,,,,
They're especially welcome in regions normally at high risk for water shortages.,Elas são especialmente bem-vindas em regiões com alto risco de escassez de água.,,,,,
"The first DAC installations are up and running, and sucking carbon out of the air.",As primeiras instalações de captura direta de ar estão a funcionar e a sugar o carbono do ar.,,,,,
"It's not a huge amount though, and it needs a lot of energy.","Contudo, não é uma quantidade significativa, além de precisar de muita energia.",,,,,
"You can expand the DAC capacity in the planning tool, if you want.","Podes expandir a capacidade da captura direta de ar na ferramenta de planificação, se quiseres.",,,,,
The Food Waste Campaign has been very successful!,A Campanha Contra o Desperdício Alimentar tem feito muito sucesso!,,,,,
We have a reliable stream of extra organic material too.,"Além disso, temos um fluxo confiável de material orgânico extra.",,,,,
"We could process this into biomaterials, such as crichton from crab shells, and streamline the process for large scale production.","Poderíamos processá-lo em biomateriais, como partes de conchas de caranguejo, e agilizar o processo para produção em larga escala.",,,,,
The new curriculum instills children with a sense of compassion for all human and non-human animals.,"O novo programa instila nas crianças um senso de compaixão por todos os animais, humanos e não humanos.",,,Yes,Still in English in-game.,
We've seen modest CO2 emission reductions by adapting lower impact production processes.,Vimos reduções modestas de emissões de CO₂ adaptando processos de produção de menor impacto.,,,,,
We have turned night into day! We can control the Earth like an artifact.,Transformamos a noite em dia! Podemos controlar a Terra como um artefato.,,,,,
Batteries are a tricky thing. They've heavy and material intensive.,As baterias são uma coisa complicada. Elas são pesadas e dispendiosas.,,,,,
That means we can use batteries in a lot of places that we couldn't before.,Isso significa que podemos usar baterias em muitos lugares que não podíamos antes.,,,,,
"But we've figured out a few ways to make them more economical, and lighter too.",Mas descobrimos algumas maneiras de torná-las mais económicas e mais leves.,,,,,
"The new global recycling program has helped keep plastic out of the ocean, as well as other ecosystems.","O novo programa global de reciclagem ajudou a manter o plástico fora do oceano, assim
como de outros ecossistemas.",,,,,
It also made the world a bit nicer to live in for humans.,Também tornou o mundo um pouco mais agradável para os humanos.,,,,,
The elderly folks in my town love hanging out around the drop off facilities making sure people put the correct recyclables in the right bin.,"Os idosos da minha cidade adoram passear pelas instalações de entrega, certificando-se de que as pessoas põem os recicláveis corretos no contentor correto.",,,,,
"We don't put people in cages anymore, so why do we still think it's ok for animals?","Nós já não metemos pessoas em jaulas, então porque é que ainda achamos que isso é normal com animais?",,,,,
I say good riddance to those horrendous institutions of suffering.,Eu dou adeus para essas instituições horrendas de sofrimento.,,,,,
"It was quite the undertaking, and an incredibly complex project, but it was worth it in the end.","Foi um esforço enorme, e um projeto incrivelmente complexo, mas valeu a pena.",,,,,
"I can sleep soundly tonight knowing that no animal is at risk of being hunted, whether by humans or by other animals.","Posso dormir tranquilamente agora, sabendo que nenhum animal corre o risco de ser caçado, seja por humanos ou por outros animais.",,,,,
We've been able to collect much more dynamic data about how the Earth is changing after establishing new kinds of studies.,Conseguimos armazenar dados muito mais dinâmicos sobre como a Terra está a mudar depois de estabelecer novos tipos de estudos.,,,,,
"The city air feels fresher somehow, you know?","O ar da cidade parece mais puro, não achas?",,,,,
...and these new systems are clogging up the roads and make driving a pain.,...e estes novos sistemas estão a obstruir as estradas e a fazer com que dirigir seja um incómodo.,,,,,
(even though I don't use it myself),(mesmo que eu não o use),,,,,
Well I'm all for public transit...,"Bem, eu sou a favor do transporte público...",,,,,
Communities affected most by highway infrastructure are experiencing less air pollution and increased health.,"As comunidades mais afetadas pela infraestrutura rodoviária estão a experienciar menos
poluição do ar e aumento da saúde.",,,,,
I guess less people are driving now that public transit is so convenient.,"Imagino que menos pessoas estejam a dirigir, agora que o transporte público é tão conveniente.",,,,,
I feel way less guilty about eating meat now!,Sinto-me bem menos culpado por comer carne!,,,,,
This is a bunch of incrementalist garbage!,Isso é um monte de lixo incrementalista!,,,,,
Slaughterhouse jobs have also gotten much less grim.,Os empregos nos matadouros também ficaram muito menos sombrios.,,,,,
"A bigger cage is still a cage, and a death sentence still a death sentence!","Uma jaula maior não deixa de ser uma jaula, e uma sentença de morte não deixa de ser uma sentença de morte!",,,,,
"But it's gotten harder to find meat, which I'm not happy about.","Mas tornou-se mais difícil encontrar carne, o que não me deixa feliz.",,,,,
Slaughterhouse jobs are better now,Os empregos nos matadouros estão melhores agora.,,,,,
These robots are...ok.,Estes robôs são... aceitáveis.,,,,,
"But they've freed up some time, so I'm happy about that.","Porém, poupam tempo, então fico feliz.",,,,,
"They still can't handle a lot of environmental conditions encountered on a farm, but they've found some consistent uses.","Ainda não conseguem lidar com muitas condições ambientais encontradas numa
quinta, mas tiveram alguns usos consistentes.",,,,,
"Nothing compared to my AI, but I don't have to manipulate delicate plants or tread through muddy soil!","Nada comparado à minha IA, mas não tenho que manipular plantas delicadas ou pisar solo lamacento!",,,,,
And they kill *a lot* of bugs and other critters...,E matam *muitos* insetos e outras pequenas criaturas...,,,,,
Success!,Sucesso!,,,,,
"It was always 20 years in the future, and it seems like it actually was.","Sempre foi 20 anos no futuro, e parece que realmente foi.",,,,,
"It's not *free* energy, but it's a lot better than what we had before.","Não é energia *grátis*, mas é muito melhor do que tínhamos antes.",,,,,
Our research has failed.,As nossas investigações fracassaram.,,,,,
Fusion power might never become a reality...,A energia por fusão poderá nunca tornar-se realidade...,,,,,
"The experiment succeeded in drawing down carbon from the atmosphere, but it had an uninteded side-effect...","A experiência conseguiu retirar carbono da atmosfera, mas teve um efeito colateral inesperado...",,,,,
"The rotting algae formed anoxic dead zones on the abyssal plains, killing much ocean life...","As algas podres formaram zonas mortas anóxicas nas planícies abissais, matando muita vida oceânica...",,,,,
"The abundance of diatoms not only sequestered carbon, but fed millions of salmon fry and other marine life. This was a great success!","A abundância de diatomáceas não apenas capturou carbono, mas também alimentou milhões de alevinos de salmão e outras formas de vida marinha. Foi um grande sucesso!",,,,,
"I suppose iron wasn't a major limiting nutrient, because the blooms of diatoms are rather minor.","Parece que ferro não era um nutriente limitante importante, porque as flores de diatomáceas são bem menores.","Parece que ferro não era um nutriente limitante importante, porque as flores de diatomáceas são uma minoria.",,,,
Back to the drawing board!,De volta à prancheta!,,,,,
"Demilitarization resulted in a significant drop in global emissions, as well as an increase in global outlook and untold tons of salvageable metals.","A desmilitarização resultou numa queda significativa nas emissões globais, bem como um aumento nas perspectivas globais e toneladas incontáveis de metais aproveitáveis.",,,,,
We're totally defenceless now...,Estamos totalmente indefesos agora...,,,,,
Don't expect me to help you when you're in a fix.,Não esperes que eu te ajude quando estiveres com problemas.,,,,,
"I'm glad you agreed to trust me. I'll make things easier for you, but don't ask me how I do it.","Fico feliz por confiares em mim. Facilitarei as coisas, mas não me perguntes como.",,,,,
"I know the guy who makes these beautiful wines, no sulfates, all natural.","Conheço o homem que faz estes vinhos fantásticos, sem sulfatos, todos naturais.",,,,,
We should go up to see his vineyard sometime.,Devíamos visitar a vinha dele um dia destes.,,,,,
It's nice to have resources directed towards our countries for once.,É bom termos finalmente recursos direcionados para os nossos países.,,,,,
"Maybe not...but this is a gesture of good faith, at least.","Talvez não... mas é um gesto de boa fé, pelo menos.",,,,,
Will it ever match the wealth that was stolen from us?,Será que alguma vez corresponderá às riquezas que nos foram roubadas?,,,,,
I don't think the planet can sustain it!,Não acho que o planeta nos consiga sustentar!,,,,,
You do realize that not everyone can enjoy a high standard of living?,Tens noção de que nem todos podem desfrutar de um alto padrão de vida?,,,,,
What are you doing?,O que estás a fazer?,,,,,
...this kind of regression isn't necessary..,...esse tipo de regressão não é necessária..,,,,,
"...with the right technology and conditions, no one has to give anything up...","...com a tecnologia e as condições certas, ninguém tem de abrir mão de nada...",,,,,
"You're supposed to make things better, not worse!","Devias melhorar as coisas, não piorá-las!",,,,,
It's about time that we recognize who the main perpetrators of all these crises are.,Já é hora de reconhecermos quem são os principais causadores de todas estas crises.,,,,,
"With the restoration of the Satoyama forests, students and senior citizens work with farmers to plant rice and clear irrigation channels. ","Com a restauração das florestas de Satoyama, estudantes e idosos trabalham com agricultores para plantar arroz e limpar canais de irrigação.",,,,,
We call ourselves the Matsutake Crusaders. Our co-op has been working together to condition the forest for Matsutake mushrooms to thrive again.,Nós chamamo-nos Cruzados de Matsutake. A nossa cooperativa tem se esforçado para adequar a floresta para que os cogumelos Matsutake prosperem novamente.,,,,,
"So many more wonderful trees make habitats and store carbon, while still supporting food production.","Muitas outras árvores maravilhosas criam habitats e armazenam carbono, enquanto apoiam a produção de alimentos.",,,,,
How exciting!,Que maravilha!,,,,,
I quite like working under the canopy...the shade's nice.,Eu gosto muito de trabalhar sob coberturas... a sombra é boa.,,,,,
I thought I would hate the inconvenience of not being able to fly...,Pensei que iria odiar a inconveniência de não poder voar...,,,,,
but who doesn't like trains?,mas quem não gosta de comboios?,,,,,
"It may appear extreme to some, but sometimes you have to be a little tough with people to keep nature safe.","Pode parecer excessivo para alguns, mas às vezes é preciso ser mais firme com as pessoas para manter a natureza segura.",,,,,
"Some people just don't know any better, you know what I mean?","Algumas pessoas simplesmente não entendem, percebes?",,,,,
"If we've still got to combust things for energy, this is at least an improvement.","Se ainda temos que queimar coisas para obter energia, isto é pelo menos uma melhoria.",,,,,
Reducing energy consumption is an easy way to protect the grid and minimize environmental impact.,Reduzir o consumo de energia é uma maneira fácil de proteger a rede e minimizar o impacto ambiental.,,,,,
How can anyone survive on such a pathetic amount of energy?,Como é que alguém pode sobreviver com uma quantidade tão patética de energia?,,,,,
Reducing,Redução,,,,,
These restrictions have been ridiculous!,Estas restrições são ridículas!,,,,,
I'm sure I won't.,Tenho certeza de que EU não posso.,,,,,
I've lived decently on less energy than this...I'm sure you'll get used to it.,Eu vivi decentemente com menos... tenho certeza que te habituas.,,,,,
"Wow, we've produced more than fourteen times the usual quota this year alone.","Uau, nós produzimos quatorze vezes mais do que a cota média, só este ano.",,,,,
My back hurts from these long work hours. I hope it's worth it...,As minhas costas doem destas longas horas de trabalho. Espero que valha a pena...,,,,,
"We were able to bring back the passenger pigeon, but this quickly became an exotic poultry dish leading to its extinction again.","Conseguimos recuperar o pombo passageiro, mas rapidamente se tornou um prato exótico de aves,
levando-o novamente à extinção.",,,,,
And now I'm getting a lot of requests to use this technology for designer dogs.,E agora estou a receber imensos pedidos para usar esta tecnologia para cães de luxo.,,,,,
We succeeded in cloning some lost species and successfully re-introduced them into their original ecosystems.,Conseguimos clonar algumas espécies perdidas e reintroduzi-las com sucesso nos seus ecossistemas originais.,,,,,
Surprisingly there haven't been any major issues.,"Surpreendentemente, não houve grandes problemas.",,,,,
"We succeeded in cloning some lost species, but they all were either short-lived or could not survive in the wild.","Conseguimos clonar algumas espécies perdidas, mas nenhuma sobrevivia muito tempo na natureza.",,,,,
So far we've seen a modest decrease in temperatures.,"Até agora, vimos uma diminuição modesta nas temperaturas.",,,,,
I don't know how long it will last though.,"Contudo, não sei quanto tempo vai durar..",,,,,
The temporary cooling has reversed.,O arrefecimento temporário foi revertido.,,,,,
We've shifted quite a lot of petroleum-based plastic to these new biofabrication methods.,Trocamos bastante do plástico à base de petróleo para estes novos métodos de biofabricação.,,,,,
"Still, we're at least introducing less new CO2 into the atmosphere by avoiding some fossil fuel usage.","Pelo menos, assim, introduzimos menos CO₂ novo na atmosfera, evitando o uso de combustíveis fósseis.",,,,,
But--even though we use far less plastic than we did pre-revolution--the amount of biomass available still isn't enough to fully replace petroleum-based plastics.,"Mas, embora usemos muito menos plástico do que antes da revolução, a quantidade de biomassa disponível ainda não é suficiente para substituir totalmente os plásticos à base de petróleo.",,,,,
The high seas fishing ban has had benefits...,A proibição da pesca em alto mar trouxe benefícios...,,,,,
but they have been limited since less than 10% of global fish catch was on the high seas.,"mas eles têm sido limitados, pois menos de 10% da pesca global ocorria em alto mar.",,,,,
Maybe we ought to consider a blanket ban on industrial fishing?,Talvez devêssemos considerar uma proibição geral da pesca industrial?,,,,,
We were able to capture the Davida asteroid and steer it within Earth's orbit and unleash a tremendous amount of lithium and rare earth metals.,Conseguimos capturar o asteroide Davida e conduzi-lo para dentro da órbita da Terra e libertar uma tremenda quantidade de lítio e metais raros.,,,,,
...no doubt many evironmentally-destructive mining practices will become obsolete...,"...sem dúvida, muitas práticas de mineração ambientalmente destrutivas tornar-se-ão obsoletas...",,,,,
"I want my fresh local swordfish, tuna, lobster and crabmeat! ","Eu quero meu peixe-espada, atum, lagosta e carne de caranguejo locais e frescos!",,,,,
Now I can't get any of it...,Agora não tenho nada...,,,,,
The hairy-nosed otter (Lutra sumatrana) has been seen again!,A lontra de nariz peludo (Lutra sumatrana) foi avistada novamente!,,,,,
Otters are the best :),As lontras são as melhores :),,,,,
"Now a popular manga mascot, this rare otter represents hope and honor.","Atualmente um mascote de um mangá popular, esta lontra rara representa esperança e honra.",,,,,
Biodiversity in the oceans is bouncing back!,A biodiversidade nos oceanos está em recuperação!,,,,,
We've seen recovery of old oyster beds and the return of massive schools of cod and sardines.,Observamos a recuperação de antigos leitos de ostras e ao regresso de maciços cardumes de bacalhau e sardinha.,,,,,
"More wolves, lions, cougars, and other large predators means more livestock have been attacked!","Mais lobos, leões, pumas e outros grandes predadores significam que mais animais foram atacados!",,,,,
We've improved efficiency of this process and converted existing steel manufacturing facilities to use it.,"Melhoramos a eficiência do processo e convertemos as usinas de aço existentes
para usá-lo.",,,,,
"Fish aquaculture may have sustained seafood production, but it only shifted fishing pressure from large fish to smaller ones.","A piscicultura pode ter sustentado a produção de frutos do mar, mas apenas deslocou a pressão da pesca de peixes grandes para peixes menores.",,,,,
It also incubated new fish pathogens.,Também incubou novos patógenos de peixes.,,,,,
This new battery network will help a lot with large-scale electrification and improving reliability.,"Esta nova rede de baterias ajudará muito na eletrificação em larga escala e na melhoria da
confiabilidade.",,,,,
I think it's a great shame that eels and frogs don't get the same attention as polar bears and penguins.,É uma pena que enguias e sapos não recebam a mesma atenção que ursos polares e pinguins.,,,,,
Around 40 percent of all plant and animal species rely on these wetlands.,Cerca de 40% de todas as espécies de plantas e animais dependem destas zonas úmidas.,,,,,
"Our slimy friends should be much happier now- along with geese, deer, and all the life in and around these wetlands.","Nossos amigos viscosos devem estar muito mais felizes agora, assim como os gansos, veados e toda a vida dentro e ao redor destes pântanos.",,,,,
"We've successfully built a space elevator, putting the stars one step closer.","Construímos com sucesso um elevador espacial, aproximando as estrelas de nós.",,,,,
"We're in a better position to expand space activities, if you so choose.","Estamos em melhor posição para expandir as atividades espaciais, se assim desejares.",,,,,
I'm so excited to try it out!,Estou tão ansioso para experimentar!,,,,,
I found it surprisingly easy to cut meat out of my diet once a week.,Achei surpreendentemente fácil cortar a carne da minha dieta uma vez por semana.,,,,,
"There are certain meals that feature meat that are important to me, and I would hate to lose them.","Tenho certas refeições com carne que são importantes para mim, e odiaria perdê-las.",,,,,
This feels like a slippery slope...,Isto parece suspeito...,,,,,
But cutting it out every once in awhile feels reasonable to me.,Mas cortar de vez em quando parece-me razoável.,,,,,
These last few years have been miserable.,Estes últimos anos têm sido miseráveis.,,,,,
This was long overdue!,Já passou da hora!,,,,,
"Sure, I get eating less meat, but banning it entirely?","Claro, eu consigo entender reduzir; mas banir carne?",,,,,
You're mad with power--how was this a good idea?,Está louco pelo poder; como é que isso foi uma boa ideia?,,,,,
Can't we just figure out more sustainable and ethical ways to produce meat?,Não podemos simplesmente descobrir maneiras mais sustentáveis e éticas de produzir carne?,,,,,
"Did you know that green roofs can reflect up to 80% of the solar energy hitting it, back into space?? ","Sabias que os telhados verdes podem refletir até 80% da energia solar que os atinge, de volta para o espaço?",,,,,
And it's nice to have an additional green space to enjoy.,E é bom ter espaço verde adicional para desfrutar.,,,,,
I've noticed that my apartment's temperature is much more consistent now...,Tenho percebido que a temperatura do meu apartamento está muito mais consistente agora...,,,,,
"My kids stopped complaining as much, at least.","Pelo menos, as crianças pararam de reclamar.",,,,,
Biochar is doing wonders for my fields.,O biocarvão vegetal está a ser uma maravilha para os meus campos.,,,,,
"Biochar is great for carbon sequestration, but removing so much composting vegetation from ecosystems may cause problems.","O biocarvão vegetal é ótimo para a captura de carbono, mas remover tanta vegetação de compostagem dos ecossistemas pode causar problemas.",,,,,
Good to know that the soil can hold carbon for centuries!,É bom saber que o solo pode reter carbono por séculos!,,,,,
The soil is richer than what I had before.,O solo é mais rico do que o que eu tinha antes.,,,,,
The ban on outdoor cats is going well.,A proibição de gatos ao ar livre está a correr bem.,,,,,
Wild to think how much damage those critters can do!,Surpreendente quanto dano esses bichos podem fazer!,,,,,
" I agree, the battle to feed all of humanity is over.","Concordo, a batalha para alimentar toda a humanidade acabou.",,,,,
It's wrong to lock people up in cages. As a socialist society we can do better than this!,"É errado prender as pessoas em jaulas. Como sociedade socialista, podemos fazer melhor do que isso!",,,,,
"If you do this, don't expect help when you need some brute force to back you up...","Se fizeres isso, não esperes ajuda quando precisares de alguma força bruta para te apoiar...",,,,,
Significant amounts of carbon were locked into human structures and wide-scale reforestation helped to buffer the ecological strain of increased logging.,Quantidades significativas de carbono foram fixadas em estruturas e o reflorestamento em larga escala ajudou a amortecer a tensão ecológica do aumento da extração de madeira.,,,,,
"Significant amounts of carbon was locked into human structures, but the increase in logging put a serious strain on forest ecosystems.","Quantidades significativas de carbono foram fixadas em estruturas, mas o aumento da extração de madeira colocou uma enorme pressão sobre os ecossistemas florestais.",,,,,
Animal husbandry takes up far too much room! Hard trade-offs must be made.,A criação de animais ocupa muito espaço! Compensações devem ser feitas.,,,,,
A genetically altered strain of Nannochloropsis is able to produce a higher concentration of lipids for biofuel and butanol.,Uma cepa geneticamente alterada de Nannochloropsis é capaz de produzir uma maior concentração de lípidos para biocombustível e butanol.,,,,,
We can now grow and deploy algae-based biofuels at scale.,Agora podemos cultivar e implantar biocombustíveis à base de algas em ampla escala.,,,,,
Adaptations like non-tillage and cover crops made a notable difference in terms of carbon and water retention in soil.,Adaptações como plantio direto e culturas de coberturas fizeram uma diferença notável em termos de retenção de carbono e água no solo.,,,,,
"Socialism is for the working class, but it isn't about work. ","O socialismo é para a classe trabalhadora, mas não é só trabalho.",,,,,
"Just chill, comrade.","Descontrai, camarada.",,,,,
"Great!, let's go hang out by the water.",Ótimo! Vamos passear pela beira da água.,,,,,
There has been an increase in acid rain. Delicately synchronized ecologies have been disturbed too.,Houve um aumento na chuva ácida. Ecologias delicadamente sincronizadas também foram perturbadas.,,,,,
"Some areas have experienced cooling, but without significant emissions abatement, SRM needs to be ramped up to keep pace. ","Algumas áreas sofreram arrefecimento, mas sem redução significativa de emissões, a gestão de radiação solar precisa de ser acelerada para acompanhar esse ritmo.",,,,,
"A number of deep sea mining operations have sprouted up, opening up a steady supply of many important metals and minerals.","Surgiram várias operações de mineração em alto mar, abrindo um suprimento constante de muitos metais e minerais importantes.",,,,,
Maybe it's worth it?,Talvez compense?,,,,,
"It has however disrupted the lives of those living down there, and plumes of effluent have clouded large parts of the oceans.","No entanto, perturbou a vida daqueles que vivem nas profundezas, e nuvens de efluentes nublaram grandes partes dos oceanos.",,,,,
"There has been a rapid decline in fatalities from car accidents, which were on the order of millions of deaths per year.","Houve um rápido declínio nas mortes por acidentes de carro, que rondavam os milhões por ano.",,,,,
Air quality is better too!,A qualidade do ar também é melhor!,,,,,
...let alone,... por si mesmo,,,,,
Why are you taking so many things away from me!,Por que é que estás a tirar-me tantas coisas!?,,,,,
"It was a fair bit of work, but everyone appreciates upgrading old housing stock.","Deu um pouco de trabalho, mas todos apreciam atualizar moradias antigas.",,,,,
"I myself love the calm silence of a passive house. HVAC can be so noisy, eh?",Eu cá amo o calmo silêncio de uma casa passiva. Ar-condicionado consegue ser bem barulhento!,,,,,
Reduced deforestation has helped avoid a great deal of carbon emissions...,Uma menor desflorestação ajudou a evitar uma grande quantidade de emissões de carbono...,,,,,
...not to mention that this recognition of sovereignty is long overdue.,...sem falar que este reconhecimento de soberania está bastante atrasado.,,,,,
We had collected most of our samples but then a massive blackout spoiled everything...,"Nós juntamos a maioria das nossas amostras, mas grande apagão estragou tudo...",,,,,
We were able to successfully develop the Ark and collect samples of a majority of the remaining species.,Conseguimos desenvolver a Arca com sucesso e juntar amostras da maioria das espécies restantes.,,,,,
"We can now deploy fast-breeder reactors, which will help alleviate uranium shortages by burning spent nuclear waste. ","Agora podemos implantar reatores de reprodução rápida, que ajudarão a aliviar a escassez de urânio, queimando resíduos nucleares.",,,,,
We were never able to overcome the reprocessing and fuel fabrication balance challenges. It's time to throw in the towel.,Nunca fomos capazes de superar os desafios de equilibrar o reprocessamento e a fabricação de combustível. É hora de desistir.,,,,,
There are too many people living into old age and not enough young people to take care of them!,Há muitas pessoas que vivem até à velhice e não existem jovens suficientes para cuidar delas!,,,,,
The gender ratio has shifted as people prefer to have girls rather than boys.,"A proporção de gênero mudou, pois as pessoas preferem ter meninas em vez de meninos.",,,,,
The mission was a success!,A missão foi um sucesso!,,,,,
"I mean, I'm ambivalent on the whole fossil fuels thing, but I'm excited about further space expeditions.","Quer dizer, sou ambivalente em relação aos combustíveis fósseis, mas estou empolgado com mais expedições espaciais.",,,,,
I'm stoked I can spend 24/7 in space now!,Estou feliz por ficar no espaço o tempo todo!,,,,,
...we can finally start moving all our dirty industry off-planet...,...podemos começar a mover as nossas indústrias poluidoras para fora do planeta...,,,,,
This will also be our launch pad to go deeper into space.,Esta será também a nossa plataforma de lançamento para irmos mais longe no espaço.,,,,,
"With automation comes more efficient use of materials, and better product quality.",Com a automação vem o uso mais eficiente de materiais e melhor qualidade do produto.,,,,,
We are able to shorten the work week while still maintaining high rates of production.,Somos capazes de encurtar a jornada de trabalho e manter os altos valores de produção.,,,,,
"Many industries have successfully relocated the bulk of their operations into space, reducing planetside pollution and emissions.","Muitas indústrias transferiram a maior parte das suas operações para o espaço, reduzindo a poluição e as emissões no planeta.",,,,,
"Many industries relocated to space, but are rife with corruption and exploitation, so few are willing to work there.","Muitas indústrias foram para o espaço, mas estão repletas de corrupção e exploração, então poucas pessoas estão dispostas a trabalhar lá.",,,,,
"Moving major industries into space proved to be way more complicated than anticipated, so most have remained planetside.","Mover grandes indústrias para o espaço provou ser muito mais complicado do que o previsto, então a maioria permaneceu no planeta.",,,,,
But we,"Porém, nós",,,,,
Our experiments were beset by disaster upon disaster.,Nossos experimentos foram assolados por desastre após desastre.,,,,,
We weren't able to create a fully closed ecology...,Não conseguimos criar uma ecologia completamente fechada...,,,,,
But we learned a lot!,Mas aprendemos muito!,,,,,
We managed to create a self-sustaining environment--a necessary step for manned space exploration.,Conseguimos criar um ambiente autossustentável - um passo necessário para a exploração espacial tripulada.,,,,,
I struggled a bit with shifting to a vegetarian diet...,Tive alguma dificuldade na transição para uma dieta vegetariana ...,,,,,
"And I can still enjoy some milk and cheese, which has also made the transition easier.","E ainda posso desfrutar de um pouco de leite e queijo, o que também facilitou a transição.",,,,,
but there's been such an explosion of creative vegetarian recipes and techniques that I haven't found myself missing meat.,"mas houve uma explosão criativa tão grande de receitas e técnicas vegetarianas, que não senti falta de carne.",,,,,
How cruel of you to forever condemn us to lives of poverty while others continue to live in absurd excess.,"Que crueldade da tua parte, condenar-nos para sempre a uma vida de pobreza enquanto outros continuam a viver em absurdos excessos.",,,,,
It's not our poverty that threatens the world but their wasteful extravagance!,"Não é a nossa pobreza que ameaça o mundo, mas sim a extravagância esbanjadora!",,,,,
There just isn't enough earth for everyone to live well.,"Não há terra suficiente para que todos possam viver bem, simples.",,,,,
"I, for one, am relieved.","Eu, por exemplo, estou aliviado.",,,,,
