English,機械翻訳/machine translation,こんな翻訳もありかも？,Translation,要確認：Yを入力,コメント / comments,Section,,他の翻訳案 / alternative suggestions
Improved cloning techniques that would allow for the revival of extinct species.,絶滅した種の復活を可能にするクローン技術の向上。,,絶滅した種を復活させるためのクローン技術の向上。,,,,,
"Instead of prison, institute programs that will target the causes of crime by addressing poverty and mental health issues. Decriminalize sex work, drugs, and other offences that lead to felonies. Restorative justice and graduated re-integration will rehabilitate criminals and reconcile communities. ",刑務所の代わりに、貧困や精神衛生上の問題に対処することによって、犯罪の原因に的を絞ったプログラムを制定する。性労働、薬物、その他の重罪につながる犯罪を非犯罪化する。修復的司法と段階的な再統合により、犯罪者を更生させ、コミュニティを和解させる。,,刑務所の代わりに、貧困や精神衛生上の問題に取り組むことで犯罪の原因に焦点を当てるプログラムを実施する。性労働、薬物、その他重罪につながる犯罪を事前に阻止する。修復的司法と段階的な再統合によって、犯罪者は更生し、地域社会と和解できるだろう。,,,,,
"People won't work as long and instead enjoy more leisure time. Energy-use will go down substantially, but projects will also take longer to finish.",人々はあまり長く働かず、代わりに余暇を楽しむようになるでしょう。エネルギー消費は大幅に減りますが、プロジェクトが完了するまでの時間も長くなります。,,人々は長時間労働から解放され、より多くの余暇を楽しむようになる。エネルギー消費量は減少するが、施策完了までの時間が延びる。,,,,,
"Carry out 'psychological operations' to increase your political support and discredit your opponents. This can take the form of propaganda, influencing the media, staging events to create the appearance of popular support. ",政治的支持を高め、敵対者の信用を落とすために、「心理作戦」を行う。これは、プロパガンダ、メディアへの影響、大衆が支持しているように見せかけるイベントの演出などの形をとることができる。,,政治的支持を増やし、敵対者の信用を貶めるための「心理作戦」 を実行する。これはメディアに影響を与えたり、イベントを企画して大衆の支持を演出したりというプロパガンダの手法を取る。,,,,,政治的支持を増やし、敵対者の信用を失わせるための「心理作戦」 を実行する。これはメディアに影響を与えたり、イベントを企画して大衆の支持を演出したりというプロパガンダの手法を取る。
"Seize the Means of Reproduction! Make abortions, contraceptives, and other family planning services universally accessible. This will decrease the rate of population growth and empower women.",生殖手段を奪え!中絶、避妊具、その他の家族計画サービスを普遍的に利用できるようにしましょう。そうすることで、人口増加率を減らし、女性に力を与えることができます。,,生殖手段を我々の手に取り戻そう！中絶、避妊、その他の家族計画サービスを誰もが利用できるようにする。これにより、人口増加に歯止めがかかり、女性の地位は向上する。,,,,,
Rapidly increase development throughout the world to catch up to Global North levels.,世界各地の開発を急ピッチで進め、「北の大地」の水準に追いつく。,,北の先進諸国の水準に追いつくべく、世界各地の開発を急速に推進する。,,,,,
Research ways to decarbonize long-range air travel.,長距離航空路の脱炭素化を研究する。,,長距離航空路の脱炭素化について研究する。,,,,,
Closed-system ecologies will be necessary if we want to explore deeper into space. Or if the outside world becomes uninhabitable.,閉じた生態系は、もし私たちがより深く宇宙を探検したいのであれば、必要になってくるでしょう。あるいは、外界が居住不可能になった場合にも。,,もし私たちが宇宙をより深く探索したいのであれば、閉鎖生態系が必要となるだろう。もしくは、地球が居住不可能になった場合にも…。,,,,,
"Close off more streets to cars, expand sidewalks, and add bike-share programs and well designed intersections with direct, level, well-lit, tree-lined bike lanes.",より多くの道路を自動車専用道路にし、歩道を拡張し、自転車シェアプログラムを追加し、直進性が高く、水平で、明るく、並木道のある、よく設計された交差点を設ける。,,より多くの道路を車両通行禁止にし、歩道を拡張し、自転車のシェアリングを導入し、まっすぐで平坦な明るい並木道の自転車レーンや、よく設計された交差点を整備する。,,,,,
"Ban private vehicles first in urban areas then everywhere. Tear up highways and transform cites, while saving lives, fuel and steel. This is a hard policy to push through, but the gains are immense. ",まず都市部で、次にあらゆる場所で自家用車を禁止する。高速道路を廃止し、都市を改造し、人命と燃料と鉄鋼を節約する。この政策を押し通すのは難しいが、得られるものは計り知れない。,,まず都市部で、順次全ての場所で自家用車を禁止する。高速道路を廃止し都市を改革し、人命を救い、燃料と鉄鋼の消費を削減する。この政策を通過させるのは難しいが、それにより得られる利益は計り知れない。,,,,,
The pursuit of manliness leads many men to buy big trucks and eat lots of meat. This campaign will try to address both problems,男らしさを追求するあまり、大きなトラックを買ったり、肉をたくさん食べたりする男性も少なくありません。このキャンペーンは、この2つの問題を解決しようとするものです。,,男らしさを追求するあまり、大型トラックを購入したり、たくさんの肉を食べようとする男性は少なくない。 この政策は両方の問題に対処するものである。,,,,,
"It is hard to make people give up meat entirely, but what if they are a bit less? Shrinking the livestock industry will help biodiversity and reduce GHG emissions—yet even more drastic measures may be needed. Even this moderate policy, however, will likely provoke opposition. ",肉を完全にやめさせるのは難しいが、少しでも減らすならどうだろう。畜産業を縮小することは、生物多様性の保全や温室効果ガスの削減につながるが、より抜本的な対策が必要かもしれない。しかし、この穏健な政策でさえも、反対を招く可能性が高い。,,人々に肉を完全にやめさせるのは難しいが、少し減らすというのはどうだろうか。畜産業の縮小は、生物多様性の保全と温室効果ガス排出量の削減につながるが―いずれ、さらに抜本的な対策が必要になるかもしれない。しかし、このような穏健な政策でも反発を招く可能性が高い。,,,,,
Implement an initiative to store carbon captured by trees in human structures.,樹木が捉えた炭素を人間の構造物に蓄える取り組みを実施する。,,樹木から回収された炭素を、人間の建造物に貯蔵する取り組みを実施する。,,,,,
"Close borders between regions to slow down the movement of climate refugees. It will keep rich countries content but could spell doom for poor, hotter ones.",気候難民の移動を遅らせるために、地域間の国境を閉鎖する。これは豊かな国々を満足させるが、貧しく暑い国々には破滅をもたらす可能性がある。,,気候難民の移動を遅らせるべく国境を封鎖する。豊かな国はそれで満足するかもしれないが、酷暑に喘ぐ貧しい国には破滅をもたらす可能性がある。,,,,,
"Ban the breeding, capture, and sale of wildlife. This will help biodiversity and reduce the risk of new zoonoses. This policy is best done by simultaneously improving
 living standards in the Global South.","野生動物の飼育、捕獲、売買を禁止する。これは、生物多様性を助け、新たな動物原性感染症のリスクを減らすことになります。この政策は、同時に
 Global Southの生活水準を向上させることによって行うのが最善です。",,野生生物の繁殖、捕獲、売買を禁止する。これは生物多様性を守り、新たな人獣共通感染症のリスクを減らすことにつながる。この政策は、同時に南の発展途上国の生活水準を向上させることが肝要である。,,,,,
"Tritium is a rare fuel used in fusion reactors, but it is plentiful on the moon. ",トリチウムは核融合炉に使われる希少な燃料だが、月には豊富に存在する。,,トリチウムは核融合炉で使われる希少な燃料だが、月には豊富に存在している。,,,,,
No family can have more than one child. An authoritarian solution to population growth.,一家に一人以上の子供は作れない。人口増加に対する権威主義的な解決策です。,,どの家族も二人以上の子供を持つことはできない。人口増加に対する権威主義的な解決策である。,,,,,
"Unite humanity in a way it hasn't been since the Tower of Babel. Even better, achieve this goal with an artificial and cosmopolitan language rather than a colonial lingua franca. Once we achieve this goal then the utopia of global equality, peace and prosperity doesn't seem so impossible.",バベルの塔以来の方法で、人類を統合する。さらに望ましいのは、植民地的な国際共通語ではなく、人工的でコスモポリタンな言語を用いてこの目標を達成することです。この目標を達成すれば、世界的な平等、平和、繁栄というユートピアはそれほど不可能なことではないように思われるのです。,,バベルの塔以来の方法で人類は団結する。それを植民地時代の共通語ではなく、人工的で国際的な言語でこの目標を達成するのであれば、なお望ましい。この目標を達成すれば、世界的な平等、平和、繁栄というユートピアは夢物語ではないように思われる。,,,,,
"Implement a ban on all animal products, effective immediately.",すべての動物性食品の禁止を直ちに実施する。,,すべての動物性食品を直ちに禁止する。,,,,,
"Limit per-capita energy consumption to a level supportive of a good quality of life, though perhaps far lower than wealthier regions are used to.",一人当たりのエネルギー消費量を、豊かな地域の水準よりはるかに低いが、良好な生活の質を維持できる水準に制限する。,,１人当たりのエネルギー消費量を、豊かな地域の水準よりはるかに低いが、良好な生活の質を維持できる水準に制限する。,,,,,１人当たりのエネルギー消費量を、豊かではないが良好な生活の質を維持できる水準に制限する。
"Cycle livestock through different pastures to allow other parts to regrow and recover. Sceptics think it will not have much of an effect, but it is popular with consumers.",家畜を異なる牧草地に循環させ、他の部分の再生と回復を促す。懐疑論者は大した効果はないと考えているが、消費者には人気がある。,,家畜を異なる牧草地に循環させることで、土地の再生と回復を促す。大した効果はないと疑いの目を持つ人も多いが、消費者には支持されている。,,,,,
"One day a week people will abstain from eating meat, which will reduce demand accordingly. This will reduce pressure on ecosystems and greenhouse gas emissions.",週に一度、肉食を控える日があれば、それに応じて需要が減ります。これにより、生態系への負担や温室効果ガスの排出を減らすことができます。,,週に1日でも人々が肉食を控えるようになれば、それに応じて需要が減少するだろう。これにより、生態系への負担や温室効果ガスの排出を減らすことができる。,,,,,
"Research a way to seed clouds to induce rain, helping to prevent crop failures.",雲に種をまいて雨を降らせる方法を研究し、農作物の不作を防ぐのに役立てる。,,雲に種をまいて雨を降らせる方法を研究し、農作物の不作を防ぐのに役立てる。,,,,,
Reform the scientific establishment by integrating the insights of forty years of feminist science and technology studies. Help scientists become more self-aware of their own biases and the limits of scientific 'objectivity'. Expand the ranks of scientists by recruiting more women to the highest ranks of their disciplines. All of this will amount to a new scientific revolution.,40年にわたるフェミニスト科学技術研究の洞察を統合することによって、科学的体制を改革すること。科学者が自らの偏見と科学的「客観性」の限界をより自覚することを助ける。より多くの女性を各分野の最高位に採用することにより、科学者の層を拡大する。これらすべてが、新たな科学革命となる。,,40年にわたるフェミニスト科学技術研究の成果を統合することにより、科学的体制を改革する。科学者が自分自身の偏見と科学的「客観性」の限界をより自覚できるよう支援する。より多くの女性を各分野の最高位に採用することで、科学者の地位を拡大する。これらはすべて、新たな科学革命につながるだろう。,,,,,
Work on improving and proliferating automation systems to increase productivity.,生産性向上のための自動化システムの改善と普及に取り組む。,,生産性向上のため、オートメーションシステムの改善と普及に取り組む。,,,,,
A global program to reintroduce predators large and small to a variety of ecosystems. This will increase biodiversity and create resilient ecosystems that can sequester more carbon.,様々な生態系に大小の捕食動物を再導入するための世界的なプログラム。これにより、生物多様性が増加し、より多くの炭素を吸収することができる弾力的な生態系が形成されます。,,様々な生態系に、大小の捕食動物を再導入するための世界的な施策。これにより、生物多様性が増加し、より多くの炭素を吸収することが可能な、回復力（レジリエント）のある生態系が形成される。,,,,,
Project Groups,0,,100%,0,完了,Y,,
Behavior,行動,,行動,,,,,
Nuclear,核,,原子力,,,,,
Agriculture,アグリカルチャー,,農業,,,,,
Electrification,電化,,電力化,,,,,
Energy,エネルギー,,エネルギー,,,,,
Protection,保護,,自然保護,,,,,
Geoengineering,ジオエンジニアリング,,地球工学,,ジオエンジニアリングとどちらがよいか？,,,ジオエンジニアリングのほうがいいかも、、、？
Control,制御,,制御,,,,,
Buildings,建物,,建築,,,,,
Population,人口,,人口,,,,,
Limits,制限事項,,制限,,,,,
Space,スペース,,宇宙,,,,,
Other,その他,,その他,,,,,
Restoration,復元,,自然の再生,,,,,
Food,食品,,食料,,,,,
Materials,素材,,原材料,,,,,
Cities,都市,,都市,,,,,
Project Dialogue,0,,100%,0,完了,Y,,
This new generation of photovoltaic cells have astounding efficiency improvements.,この新世代の太陽電池は、驚異的な効率向上を実現しています。,,この新世代の太陽電池は、驚くほど効率が向上しています。,,,,,
It makes all sorts of applications feasible now!,これでいろいろなアプリケーションが実現できるようになりましたね。,,これによってさまざまな応用が可能になると思います！,,,,,
"Hey well, I guess I'm a socialist after all!",おいおい......やっぱり俺は社会主義者なのかよ!,,まあ、結局のところ、私は社会主義者なんですよ！,,,,,
Bread and roses? Pfft! We demand Cartier and caviar!,パンとバラ？プッ！カルティエとキャビアを要求する！,,パンとバラだぁ？ふん！カルティエとキャビアを要求します！,,,,,
"We were able to reduce emissions somewhat, but leaks and upstream emissions limited the overall amount.",排出量を多少減らすことはできましたが、漏れや上流からの排出があり、全体としては限界がありました。,,排出量を多少は減らすことができましたが、漏洩や上部からの排出があり、排出量全体には限界があります。,,,,,
The off-world colony was a success!,オフ・ワールド・コロニーは成功した!,,宇宙植民地は成功しました！,,,,,
Can you hear me?,聞こえますか？,,聞こえますか？,,,,,
...Hello?,...もしもし？,,...もしもし？,,,,,
The connection's really bad.,接続が本当に悪いんです。,,接続が本当に悪いんです。,,,,,
In the process our scout probes explored Europa and discovered life-like forms.,その過程で、私たちのスカウトプローブがエウロパを探査し、生命体のようなものを発見したのです。,,その過程で、私たちの偵察探査機はエウロパを探索し、生命体のようなものを発見したのです。,,,,,
I'll send you the data for further analysis.,データを送りますので、解析してください。,,さらに解析するためにデータをお送りします。,,,,,
In the process our robotic scout probes explored Europa,その過程で、私たちのロボット探査機がエウロパを探索しました。,,その過程で、私たちのロボット探査機はエウロパを探索しました,,,,,
The off-world colony was a success!,オフ・ワールド・コロニーは成功した!,,宇宙植民地は成功しました！,,,,,
...Hello?,...もしもし？,,...もしもし？,,,,,
Can you hear me?,聞こえますか？,,聞こえますか？,,,,,
The connection's really bad.,接続が本当に悪いんです。,,接続が本当に悪いんです。,,,,,
"We've got a lot of extra graphics cards now, not sure what to do with them.",今、グラフィックカードがたくさん余っているのですが、どうしたらいいのかわかりません。,,グラフィックカードがたくさん余っているのですが、どうしたらいいのかわかりません。,,,,,
I guess we could recycle them?,リサイクルできるのでは？,,リサイクルできるのではないでしょうか？,,,,,
Sewage treatment plants are unglamorous but so vital in improving the quality of  life for people and animals.,下水処理場は地味な存在ですが、人と動物の生活の質を向上させるために非常に重要な役割を担っています。,,下水処理場は地味ですが、人や動物の生活の質を良くするために非常に重要な存在です。,,,,,
Lernu la anglan se vi volas gajni monon; lernu Esperanton se vi volas amikiĝi.,英語圏で学ぶとモノを見る目が養われ、エスペラントで学ぶとアミキĝiが養われる。,,Lernu la anglan se vi volas gajni monon; lernu Esperanton se vi volas amikiĝi.（お金を稼ぎたければ英語を学びましょう。 友達を作りたければエスペラント語を学びましょう。）,,,,,
This level of land protection is great...a good start.,この程度の国土保護は素晴らしい...良いスタートが切れたと思います。,,この規模の保護区を設定できたことは素晴らしい…いいスタートが切れたと思います。,,,,,
Maybe we ought to consider stepping it up a bit?,もう少しステップアップした方がいいのでは？,,もっと拡大することを検討した方が良いかもしれませんね？,,,,,
But quite a lot of land is still left exposed.,しかし、まだかなりの土地がむき出しのまま残っています。,,しかし、未だ多くの土地が手つかずのままです。,,,,,
I'm happy that there's more outdoors for me to hike in and enjoy :),ハイキングで楽しめるアウトドアが増えるのは嬉しいですね :),,私にとっては、ハイキングを楽しめる土地が増えたのは嬉しいことですね(^-^),,,,,
Research and development improved electrolysis efficiency and built infrastructure...,研究開発で電解効率を上げ、インフラを整備し...。,,研究開発により電解効率が向上し、インフラが構築されたことで…,,,,,
Hydrogen fuel can now be produced and transported on a mass scale without emissions.,水素燃料を大量に生産し、排気ガスを出さずに輸送することが可能になったのです。,,現在、CO2を排出せずに、水素燃料を大量生産し、輸送できるようになりました。,,,,,
We've successfully integrated more renewable energy due to the smart grid's ability to respond to demand and reduce the chance of blackouts.,スマートグリッドが需要に対応し、停電の可能性を減らすことができるため、より多くの再生可能エネルギーの統合に成功しました。,,スマートグリッドによって、需要に対応し停電の発生を減らすことができるため、より多くの再生可能エネルギーを統合することに成功しました。,,,,,
We've figured out enough of the technical hurdles to start producing cellular meat on a larger scale.,細胞肉の生産を大規模に開始するための技術的なハードルは十分にクリアしています。,,培養肉の生産を拡大するための技術的なハードルは十分にクリアしています。,,,,,
"Well, I'm glad I can keep eating meat without being guilted by others.",まあ、他人にとやかく言われることなく、肉を食べ続けられるのは嬉しいことです。,,まあ、他人にとやかく言われずに、肉を食べ続けられるのは嬉しいことですよ。,,,,,
It just doesn't hit the same way as real meat...,ただ、本物の肉と同じようには当たらない...。,,本物の肉とそっくり同じというわけにはいきませんけどね…,,,,,
I just hope the eco-freaks don't try to ban cows next.,エコフリークたちが、次は牛を禁止しようとしないことを祈るばかりだ。,,環境オタクたちが、次は牛を禁止しようと言い始めないことを祈るばかりです。,,,,,
It's vital for each generation to discover its mission and to fight for it!,それぞれの世代が自分の使命を発見し、そのために戦うことが肝心なのです,,各世代が自らの使命を見い出し、そのために戦うことが不可欠です！,,,,,
My recycling posters were inspired by Neurath's isotypes. Where would we be today without him!,私のリサイクルポスターは、ノイラートのアイソタイプに触発されたものです。彼がいなかったら、私たちは今頃どうなっていたことでしょう。,,私のリサイクルのポスターは、ノイラートのデザインしたアイソタイプに触発されて制作したものです。彼がいなかったら今頃どうなっていたでしょう！,,,,,
Education is about training people for jobs that pay well.,教育とは、高い報酬を得られる仕事のために人を育てることです。,,教育とは、、高収入の仕事に就く人材を訓練することです。,,,,,
"These jobs might not be fun, but you can afford that fancy electric car or a trip to Cuba (for the beach, not the planning bureau). ",これらの仕事は楽しくないかもしれないが、高級電気自動車やキューバ旅行（企画局ではなく、ビーチのため）をする余裕があるのだ。,,そういった仕事はつまらないかもしれませんが、電気自動車を買ったりや(企画局に出向くのではなく、ビーチで遊ぶための)キューバ旅行を計画する余裕ができます。,,,,,
"Closing the border is a tough decision, I know.",国境を閉鎖するのは難しい決断だと思います。,,国境を閉鎖するのが、難しい決断であることは承知しています。,,,,,
...and people are always the most troublesome variable.,...そして、人は常に最も厄介な変数です。,,...最も厄介な変数は、常に民衆です。,,,,,
All these problems become easier to manage if you can simplify your variables...,これらの問題は、変数を単純化することができれば、管理しやすくなるのですが......。,,これらすべての問題は、変数を単純化できれば管理が容易になりますが...,,,,,
But it's for the greater good. Otherwise things would spiral out of control.,でも、それは大義のためなんです。そうでなければ、物事は制御不能に陥ってしまう。,,でもそれは大義のためです。さもなければ、物事は制御不能に陥いるでしょう。,,,,,
This didn't really do much.,これはあまり効果がなかったですね。,,これはあまり効果がありませんでした。,,,,,
This didn't really do much.,これはあまり効果がなかったですね。,,これはあまり効果がありませんでした。,,,,,
The students have organized a local group to implement multistrata agroforestry. Will you support them?,学生たちは、マルチストラータ・アグロフォレストリーを実施するための地元グループを組織しています。あなたは彼らをサポートしますか？,,学生たちが多層型アグロフォレストリー（森林農業）を実践するための地元チームを組織しました。あなたは彼らを支援をしますか？,,,,,
"Multistrata agroforestry is a system for various types of crops to benefit each other, while also being a place where people of different ages and professions can work together.",マルチストラータ・アグロフォレストリーは、さまざまな種類の作物が互いに恩恵を与え合うシステムであると同時に、年齢も職業も異なる人々が共に働ける場でもあるのです。,,多層型アグロフォレストリー（森林農業）は、様々な種類の作物が相互に恩恵を与え合うシステムであり、同時に、年齢や職業が異なる人々が共に働ける場でもあります。,,,,,
We did it!,やったぞ！」。,,やりました！,,,,,
"We've built the perfect self-sufficient biosphere with built-in systems to manage air, water, food and electricity.",空気、水、食料、電気を管理するシステムを組み込んだ、完璧な自給自足の生物圏を構築したのです。,,私たちは、空気、水、食料、電気を管理するシステムを備えた、完全な自給自足の生物圏を構築しました。,,,,,
"I'm not sure anyone would want to *live* in these domes, but they provide a great environment for research.",このドームに住みたいと思う人がいるかどうかは分かりませんが、研究には最適な環境です。,,これらのドームに「暮らしたい」と思う人がいるかどうかはわかりませんが、研究には最適な環境ですよ。,,,,,
"While the center bio-dome monitors life-support operations, humans, plants and animals would live and interact in the surrounding domes.",中央のバイオドームで生命維持活動を監視し、周囲のドームで人間や植物、動物が生活し、交流する。,,中央のバイオドームが生命維持活動を監視しており、人間、植物、動物は周囲のドームで生活し相互作用します。,,,,,
"It was a major effort, but it will be worthwhile. AMR might kill ten million people a year.","大きな努力でしたが、その甲斐はあったというものです。AMRは年間1,000万人の命を奪うかもしれない。",,"大変な労力がかかるでしょうが、それだけの価値はあります。薬剤耐性（AMR）は、年間 1,000 万人の命を奪う可能性があるのです。",,,,,
It would be better if we addressed the causes of AMR by shrinking the industrial livestock industry and improving living standards in the Global South...,産業用畜産業を縮小し、「南半球」の生活水準を向上させることで、AMRの原因に対処すればよいのだが......。,,工業システム型農業を縮小し、南の発展途上国の生活水準を向上させることで、薬剤耐性（AMR）の原因に対処するべきでしょう…,,,,,
We have taken over the global parliament and sent the legislators home.,私たちは、世界の議会を乗っ取り、議員を帰国させました。,,私たちは世界議会を乗っ取り、議員を帰国させました。,,,,,
The revolution that overthrew capitalism was not so long ago.,資本主義を打倒した革命は、それほど昔の話ではない。,,資本主義を打倒した革命は、それほど昔の話ではありません。,,,,,
They can rise up again.,彼らは再び立ち上がることができる。,,再び立ち上がることができます。,,,,,
You will be able to pass any laws you want by decree.,政令で好きな法律を通すことができるようになる。,,あなたが望むどんな法律でも、政令によって可決できるようになります。,,,,,
"Yet, the people are seething underneath your boot.",しかし、国民はあなたの靴の下で歯がゆい思いをしているのです。,,しかし、あなたが踏みにじった人々はそれを忘れません。,,,,,
We've seen a modest boost in crop yields from this new infrastructure.,この新しいインフラによって、作物の収量が少しずつ増えているのがわかります。,,この新しい設備によって、収穫量はわずかながら増加したようです。,,,,,
"Strangely, we keep getting emails from the spinach saying they want 10x as much nitrogen than necessary.",不思議なことに、ホウレンソウから「必要量の10倍の窒素が欲しい」というメールが何度も届きます。,,不思議なことに、ホウレンソウからは必要量の10倍の窒素が欲しいというメールが何度も届いています。,,,,,
Well the mining initiative was a success!,さて、採掘の取り組みは成功でしたね。,,さあ、採掘計画は成功です！,,,,,
"We've tapped into enough tritium to cover our fusion needs for, well, forever as far as I can tell.",核融合に必要なトリチウムは もう十分にある 私の知る限り永遠に,,核融合に必要なトリチウムを、私の知る限り永遠に手にしました。,,,,,核融合に必要なトリチウムを、私の想定する限り永遠に使用できる量を手にしました。
Quite a lot of people have made the move to the countryside.,かなり多くの人が田舎に移住していますね。,,かなりの人が田舎に移住しました。,,,,,多くの人が田舎に移住しました。
Most have reported it as an improvement in their quality of life.,ほとんどの方がQOLの向上として報告されています。,,ほとんどの人が生活の質が向上したと報告しています。,,,,,
"It's a lot quieter, and the fresh air has done wonders for me.",静かだし、新鮮な空気は私に大きな効果を与えてくれました。,,とても静かで、新鮮な空気には素晴らしい効果がありました。,,,,,
Organic and fossil-free agriculture requires more labor than industrial farming.,有機農業や脱化石農業は、工業的な農業よりも多くの労働力を必要とします。,,有機農業や化石燃料を使わない農業は、工業システム型農業よりも多くの労働力を必要とします。,,,,,
You hear that?,聞いたか？,,聞きましたか？,,,,,
...just the sweet hum of electricity.,...電気の甘い音だけ。,,…電気の甘い調べだけ。,,,,,？
"No more roaring and rattling of engines, the sputtering and belching of combustion...",もう、エンジンの唸り声も、燃焼の轟音も、吐き出す音もいらない...。,,もうエンジンのゴウゴウ、ガタガタした音も、燃焼のパチパチ、ゴロゴロした音もない…,,,,,
...music to my ears.,...私の耳には音楽が流れている。,,…私の耳には音楽が聞こえる。,,,,,
I love watching old shows that I've already seen a dozen times.,もう何十回も見ているような古い番組を見るのが好きなんです。,,もう何十回も見たような昔の番組を見るのが好きなんです。,,,,,
Something about it makes me feel comforted by the nostalgia.,何か、懐かしさに心が和みますね。,,懐かしくて心が癒やされますね。,,,,,
Droughts aren't nearly as devastating as they once were thanks to these new varieties.,これらの新品種のおかげで、干ばつによる被害は以前ほどではありません。,,これらの新しい品種のおかげで、干ばつは以前ほど被害を出さなくなりました。,,,,,
Glad I can rest a bit easier now.,これで少しは安心して休めるので嬉しい。,,これで少しは安心して休めるようになって良かったです。,,,,,
They're especially welcome in regions normally at high risk for water shortages.,特に、水不足のリスクが高い地域では歓迎されています。,,特に、水不足のリスクが高い地域で歓迎されています。,,,,,
"The first DAC installations are up and running, and sucking carbon out of the air.",DACの第一号機が稼働し、空気中の炭素を吸引しています。,,DACの第一号機が稼働し、空気中から二酸化炭素を吸着しています。,,,,,
"It's not a huge amount though, and it needs a lot of energy.",とはいえ、大した量ではないので、かなりのエネルギーが必要ですが。,,とはいえ、大した量ではないので、かなりのエネルギーを必要とします。,,,,,
"You can expand the DAC capacity in the planning tool, if you want.",必要であれば、プランニングツールでDACの容量を拡張することができます。,,必要であれば、研究によってDACの容量を拡張することができます。,,,,,
The Food Waste Campaign has been very successful!,生ごみキャンペーンが大好評!,,食品ロスNO運動は大成功でした！,,,,,
We have a reliable stream of extra organic material too.,余分な有機物も確実に供給しています。,,余剰の有機物も確実に回収できています。,,,,,
"We could process this into biomaterials, such as crichton from crab shells, and streamline the process for large scale production.",これをカニの甲羅からクリプトンなどのバイオマテリアルに加工し、大量生産できるように合理化すればいいのです。,,カニの殻などからキチン質などのバイオマテリアルに加工し、効率化を進めて大量生産できるようにすることができます。,,,,,
The new curriculum instills children with a sense of compassion for all human and non-human animals.,新しいカリキュラムは、人間や人間以外のすべての動物に対する思いやりの気持ちを子どもたちに植え付けるものです。,,この新しい教育課程は、子供たちに、すべての人間と人間以外の動物に対する思いやりの心を育むものである。,,,,,
We've seen modest CO2 emission reductions by adapting lower impact production processes.,より負荷の少ない生産プロセスを採用することで、緩やかなCO2排出量の削減を実現しています。,,負荷の少ない生産プロセスを採用することで、CO2 排出量が若干削減されています。,,,,,
We have turned night into day! We can control the Earth like an artifact.,私たちは夜を昼に変えた！地球を人工物のように操ることができる。,,私たちは夜を昼に変えました！私たちは地球を人工物のようにコントロールすることができるのです。,,,,,
Batteries are a tricky thing. They've heavy and material intensive.,電池は厄介なものです。重いし、材料も多い。,,バッテリーは取り扱いが難しいものです。重量があるし、材料がたくさん必要です。,,,,,
That means we can use batteries in a lot of places that we couldn't before.,つまり、今まで使えなかった多くの場所で電池を使えるようになるのです。,,すなわち、これまで使用できなかった多くの場所でバッテリーを使用できるようになるのです。,,,,,つまり、これまで使用できなかった多くの機器でバッテリーを使用できるようになるのです。
"But we've figured out a few ways to make them more economical, and lighter too.",しかし、私たちは、より経済的に、より軽量にする方法をいくつか考え出しました。,,しかし、私たちはより安価に、軽量化しする技術を考案しました。,,,,,
"The new global recycling program has helped keep plastic out of the ocean, as well as other ecosystems.",この新しいグローバルなリサイクルプログラムにより、プラスチックが海だけでなく、他の生態系からも排除されるようになりました。,,この新しい世界的なリサイクルの施策によって、プラスチックが海だけでなく、他の生態系からも排除されるようになりました。,,,,,世界規模の新しいリサイクル施策によって、プラスチックが海だけでなく、他の生態系からも排除されるようになりました。
It also made the world a bit nicer to live in for humans.,また、人間にとっても、少し住みやすい世の中になったのではないでしょうか。,,また、人間にとっても少しは住みやすい世の中になったのではないでしょうか。,,,,,
The elderly folks in my town love hanging out around the drop off facilities making sure people put the correct recyclables in the right bin.,私の町のお年寄りたちは、リサイクル品を正しいゴミ箱に入れるように、ゴミ箱の周りをうろうろしているのが好きなんです。,,私の町のお年寄りたちは、リサイクルできるゴミを正しいゴミ箱に入れろと注意したくて、ゴミ捨て場の周りをよくうろついていますよ。,,,,,
"We don't put people in cages anymore, so why do we still think it's ok for animals?",人間を檻に入れることはもうないのに、なぜ動物には大丈夫だと思うのでしょうか？,,人間を檻の中に入れることはなくなったのに、なぜ動物なら良いと思うのでしょうか？,,,,,
I say good riddance to those horrendous institutions of suffering.,私は、そのような恐ろしい苦痛の施設とはおさらばしたいと思います。,,私は、そんな恐ろしい苦しみの施設とはおさらばしたいと思います。,,,,,
"It was quite the undertaking, and an incredibly complex project, but it was worth it in the end.",非常に複雑なプロジェクトでしたが、最終的にはやり甲斐がありました。,,それはかなりの大仕事であり、信じられないほど複雑な計画でしたが、最終的にはそれだけの価値がありました。,,,,,
"I can sleep soundly tonight knowing that no animal is at risk of being hunted, whether by humans or by other animals.",人間や他の動物に狩られる危険のある動物がいないと思うと、今夜はぐっすり眠れそうです。,,人間であれ他の動物であれ、何者かに狩られる危険にさらされてる動物がいなくなったと思うと、今夜はぐっすり眠れそうです。,,,,,
We've been able to collect much more dynamic data about how the Earth is changing after establishing new kinds of studies.,新しいタイプの研究を確立したことで、地球がどのように変化しているのか、よりダイナミックなデータを収集することができるようになりました。,,新しい種類の研究を確立したことで、地球がどのように変化しているのか、はるかに動的なデータを収集することができるようになりました。,,,,,
"The city air feels fresher somehow, you know?",都会の空気は、どこか新鮮に感じられるんですよね。,,なんだか街の空気が新鮮に感じられませんか？,,,,,
