English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
"The first DAC installations are up and running, and sucking carbon out of the air.",,,,,,
"It's not a huge amount though, and it needs a lot of energy.",,,,,,
"You can expand the DAC capacity in the planning tool, if you want.",,,,,,
The Food Waste Campaign has been very successful!,,,,,,
We have a reliable stream of extra organic material too.,,,,,,
"We could process this into biomaterials, such as crichton from crab shells, and streamline the process for large scale production.",,,,,,
The new curriculum instills children with a sense of compassion for all human and non-human animals.,,,,,,
We've seen modest CO2 emission reductions by adapting lower impact production processes.,,,,,,
We have turned night into day! We can control the Earth like an artifact.,,,,,,
Batteries are a tricky thing. They've heavy and material intensive.,,,,,,
That means we can use batteries in a lot of places that we couldn't before.,,,,,,
"But we've figured out a few ways to make them more economical, and lighter too.",,,,,,
"The new global recycling program has helped keep plastic out of the ocean, as well as other ecosystems.",,,,,,
It also made the world a bit nicer to live in for humans.,,,,,,
The elderly folks in my town love hanging out around the drop off facilities making sure people put the correct recyclables in the right bin.,,,,,,
"We don't put people in cages anymore, so why do we still think it's ok for animals?",,,,,,
I say good riddance to those horrendous institutions of suffering.,,,,,,
"It was quite the undertaking, and an incredibly complex project, but it was worth it in the end.",,,,,,
"I can sleep soundly tonight knowing that no animal is at risk of being hunted, whether by humans or by other animals.",,,,,,
We've been able to collect much more dynamic data about how the Earth is changing after establishing new kinds of studies.,,,,,,
"The city air feels fresher somehow, you know?",,,,,,
...and these new systems are clogging up the roads and make driving a pain.,,,,,,
(even though I don't use it myself),,,,,,
Well I'm all for public transit...,,,,,,
Communities affected most by highway infrastructure are experiencing less air pollution and increased health.,,,,,,
I guess less people are driving now that public transit is so convenient.,,,,,,
I feel way less guilty about eating meat now!,,,,,,
This is a bunch of incrementalist garbage!,,,,,,
Slaughterhouse jobs have also gotten much less grim.,,,,,,
"A bigger cage is still a cage, and a death sentence still a death sentence!",,,,,,
"But it's gotten harder to find meat, which I'm not happy about.",,,,,,
Slaughterhouse jobs are better now,,,,,,
These robots are...ok.,,,,,,
"But they've freed up some time, so I'm happy about that.",,,,,,
"They still can't handle a lot of environmental conditions encountered on a farm, but they've found some consistent uses.",,,,,,
"Nothing compared to my AI, but I don't have to manipulate delicate plants or tread through muddy soil!",,,,,,
And they kill *a lot* of bugs and other critters...,,,,,,
Success!,,,,,,
"It was always 20 years in the future, and it seems like it actually was.",,,,,,
"It's not *free* energy, but it's a lot better than what we had before.",,,,,,
Our research has failed.,,,,,,
Fusion power might never become a reality...,,,,,,
"The experiment succeeded in drawing down carbon from the atmosphere, but it had an uninteded side-effect...",,,,,,
"The rotting algae formed anoxic dead zones on the abyssal plains, killing much ocean life...",,,,,,
"The abundance of diatoms not only sequestered carbon, but fed millions of salmon fry and other marine life. This was a great success!",,,,,,
"I suppose iron wasn't a major limiting nutrient, because the blooms of diatoms are rather minor.",,,,,,
Back to the drawing board!,,,,,,
"Demilitarization resulted in a significant drop in global emissions, as well as an increase in global outlook and untold tons of salvageable metals.",,,,,,
We're totally defenceless now...,,,,,,
Don't expect me to help you when you're in a fix.,,,,,,
"I'm glad you agreed to trust me. I'll make things easier for you, but don't ask me how I do it.",,,,,,
"I know the guy who makes these beautiful wines, no sulfates, all natural.",,,,,,
We should go up to see his vineyard sometime.,,,,,,
It's nice to have resources directed towards our countries for once.,,,,,,
"Maybe not...but this is a gesture of good faith, at least.",,,,,,
Will it ever match the wealth that was stolen from us?,,,,,,
I don't think the planet can sustain it!,,,,,,
You do realize that not everyone can enjoy a high standard of living?,,,,,,
What are you doing?,,,,,,
...this kind of regression isn't necessary..,,,,,,
"...with the right technology and conditions, no one has to give anything up...",,,,,,
"You're supposed to make things better, not worse!",,,,,,
It's about time that we recognize who the main perpetrators of all these crises are.,,,,,,
"With the restoration of the Satoyama forests, students and senior citizens work with farmers to plant rice and clear irrigation channels. ",,,,,,
We call ourselves the Matsutake Crusaders. Our co-op has been working together to condition the forest for Matsutake mushrooms to thrive again.,,,,,,
"So many more wonderful trees make habitats and store carbon, while still supporting food production.",,,,,,
How exciting!,,,,,,
I quite like working under the canopy...the shade's nice.,,,,,,
I thought I would hate the inconvenience of not being able to fly...,,,,,,
but who doesn't like trains?,,,,,,
"It may appear extreme to some, but sometimes you have to be a little tough with people to keep nature safe.",,,,,,
"Some people just don't know any better, you know what I mean?",,,,,,
"If we've still got to combust things for energy, this is at least an improvement.",,,,,,
Reducing energy consumption is an easy way to protect the grid and minimize environmental impact.,,,,,,
How can anyone survive on such a pathetic amount of energy?,,,,,,
Reducing,,,,,,
These restrictions have been ridiculous!,,,,,,
I'm sure I won't.,,,,,,
I've lived decently on less energy than this...I'm sure you'll get used to it.,,,,,,
"Wow, we've produced more than fourteen times the usual quota this year alone.",,,,,,
My back hurts from these long work hours. I hope it's worth it...,,,,,,
"We were able to bring back the passenger pigeon, but this quickly became an exotic poultry dish leading to its extinction again.",,,,,,
And now I'm getting a lot of requests to use this technology for designer dogs.,,,,,,
We succeeded in cloning some lost species and successfully re-introduced them into their original ecosystems.,,,,,,
Surprisingly there haven't been any major issues.,,,,,,
"We succeeded in cloning some lost species, but they all were either short-lived or could not survive in the wild.",,,,,,
So far we've seen a modest decrease in temperatures.,,,,,,
I don't know how long it will last though.,,,,,,
The temporary cooling has reversed.,,,,,,
We've shifted quite a lot of petroleum-based plastic to these new biofabrication methods.,,,,,,
"Still, we're at least introducing less new CO2 into the atmosphere by avoiding some fossil fuel usage.",,,,,,
But--even though we use far less plastic than we did pre-revolution--the amount of biomass available still isn't enough to fully replace petroleum-based plastics.,,,,,,
The high seas fishing ban has had benefits...,,,,,,
but they have been limited since less than 10% of global fish catch was on the high seas.,,,,,,
Maybe we ought to consider a blanket ban on industrial fishing?,,,,,,
We were able to capture the Davida asteroid and steer it within Earth's orbit and unleash a tremendous amount of lithium and rare earth metals.,,,,,,
...no doubt many evironmentally-destructive mining practices will become obsolete...,,,,,,
"I want my fresh local swordfish, tuna, lobster and crabmeat! ",,,,,,
Now I can't get any of it...,,,,,,
The hairy-nosed otter (Lutra sumatrana) has been seen again!,,,,,,
Otters are the best :),,,,,,
"Now a popular manga mascot, this rare otter represents hope and honor.",,,,,,
Biodiversity in the oceans is bouncing back!,,,,,,
We've seen recovery of old oyster beds and the return of massive schools of cod and sardines.,,,,,,
"More wolves, lions, cougars, and other large predators means more livestock have been attacked!",,,,,,
We've improved efficiency of this process and converted existing steel manufacturing facilities to use it.,,,,,,
"Fish aquaculture may have sustained seafood production, but it only shifted fishing pressure from large fish to smaller ones.",,,,,,
It also incubated new fish pathogens.,,,,,,
This new battery network will help a lot with large-scale electrification and improving reliability.,,,,,,
I think it's a great shame that eels and frogs don't get the same attention as polar bears and penguins.,,,,,,
Around 40 percent of all plant and animal species rely on these wetlands.,,,,,,
"Our slimy friends should be much happier now- along with geese, deer, and all the life in and around these wetlands.",,,,,,
"We've successfully built a space elevator, putting the stars one step closer.",,,,,,
"We're in a better position to expand space activities, if you so choose.",,,,,,
I'm so excited to try it out!,,,,,,
I found it surprisingly easy to cut meat out of my diet once a week.,,,,,,
"There are certain meals that feature meat that are important to me, and I would hate to lose them.",,,,,,
This feels like a slippery slope...,,,,,,
But cutting it out every once in awhile feels reasonable to me.,,,,,,
These last few years have been miserable.,,,,,,
This was long overdue!,,,,,,
"Sure, I get eating less meat, but banning it entirely?",,,,,,
You're mad with power--how was this a good idea?,,,,,,
Can't we just figure out more sustainable and ethical ways to produce meat?,,,,,,
"Did you know that green roofs can reflect up to 80% of the solar energy hitting it, back into space?? ",,,,,,
And it's nice to have an additional green space to enjoy.,,,,,,
I've noticed that my apartment's temperature is much more consistent now...,,,,,,
"My kids stopped complaining as much, at least.",,,,,,
Biochar is doing wonders for my fields.,,,,,,
"Biochar is great for carbon sequestration, but removing so much composting vegetation from ecosystems may cause problems.",,,,,,
Good to know that the soil can hold carbon for centuries!,,,,,,
The soil is richer than what I had before.,,,,,,
The ban on outdoor cats is going well.,,,,,,
Wild to think how much damage those critters can do!,,,,,,
" I agree, the battle to feed all of humanity is over.",,,,,,
It's wrong to lock people up in cages. As a socialist society we can do better than this!,,,,,,
"If you do this, don't expect help when you need some brute force to back you up...",,,,,,
Significant amounts of carbon were locked into human structures and wide-scale reforestation helped to buffer the ecological strain of increased logging.,,,,,,
"Significant amounts of carbon was locked into human structures, but the increase in logging put a serious strain on forest ecosystems.",,,,,,
Animal husbandry takes up far too much room! Hard trade-offs must be made.,,,,,,
A genetically altered strain of Nannochloropsis is able to produce a higher concentration of lipids for biofuel and butanol.,,,,,,
We can now grow and deploy algae-based biofuels at scale.,,,,,,
Adaptations like non-tillage and cover crops made a notable difference in terms of carbon and water retention in soil.,,,,,,
"Socialism is for the working class, but it isn't about work. ",,,,,,
"Just chill, comrade.",,,,,,
"Great!, let's go hang out by the water.",,,,,,
There as been an increase in acid rain. Delicately synchronized ecologies have been disturbed too.,,,,,,
"Some areas have experienced cooling, but without significant emissions abatement, SRM needs to be ramped up to keep pace. ",,,,,,
"A number of deep sea mining operations have sprouted up, opening up a steady supply of many important metals and minerals.",,,,,,
Maybe it's worth it?,,,,,,
"It has however disrupted the lives of those living down there, and plumes of effluent have clouded large parts of the oceans.",,,,,,
"There has been a rapid decline in fatalities from car accidents, which were on the order of millions of deaths per year.",,,,,,
Air quality is better too!,,,,,,
...let alone,,,,,,
Why are you taking so many things away from me!,,,,,,
"It was a fair bit of work, but everyone appreciates upgrading old housing stock.",,,,,,
"I myself love the calm silence of a passive house. HVAC can be so noisy, eh?",,,,,,
Reduced deforestation has helped avoid a great deal of carbon emissions...,,,,,,
...not to mention that this recognition of sovereignty is long overdue.,,,,,,
We had collected most of our samples but then a massive blackout spoiled everything...,,,,,,
We were able to successfully develop the Ark and collect samples of a majority of the remaining species.,,,,,,
"We can now deploy fast-breeder reactors, which will help alleviate uranium shortages by burning spent nuclear waste. ",,,,,,
We were never able to overcome the reprocessing and fuel fabrication balance challenges. It's time to throw in the towel.,,,,,,
There are too many people living into old age and not enough young people to take care of them!,,,,,,
The gender ratio has shifted as people prefer to have girls rather than boys.,,,,,,
The mission was a success!,,,,,,
"I mean, I'm ambivalent on the whole fossil fuels thing, but I'm excited about further space expeditions.",,,,,,
I'm stoked I can spend 24/7 in space now!,,,,,,
...we can finally start moving all our dirty industry off-planet...,,,,,,
This will also be our launch pad to go deeper into space.,,,,,,
"With automation comes more efficient use of materials, and better product quality.",,,,,,
We are able to shorten the work week while still maintaining high rates of production.,,,,,,
"Many industries have successfully relocated the bulk of their operations into space, reducing planetside pollution and emissions.",,,,,,
"Many industries relocated to space, but are rife with corruption and exploitation, so few are willing to work there.",,,,,,
"Moving major industries into space proved to be way more complicated than anticipated, so most have remained planetside.",,,,,,
But we,,,,,,
Our experiments were beset by disaster upon disaster.,,,,,,
We weren't able to create a fully closed ecology...,,,,,,
But we learned a lot!,,,,,,
We managed to create a self-sustaining environment--a necessary step for manned space exploration.,,,,,,
I struggled a bit with shifting to a vegetarian diet...,,,,,,
"And I can still enjoy some milk and cheese, which has also made the transition easier.",,,,,,
but there's been such an explosion of creative vegetarian recipes and techniques that I haven't found myself missing meat.,,,,,,
How cruel of you to forever condemn us to lives of poverty while others continue to live in absurd excess.,,,,,,
It's not our poverty that threatens the world but their wasteful extravagance!,,,,,,
There just isn't enough earth for everyone to live well.,,,,,,
"I, for one, am relieved.",,,,,,
We only joined the revolution because we agreed to put that in the past!,,,,,,
...a tough but necessary decision.,,,,,,
"We can now deploy thorium reactors, which use a far more abundant fuel and create far less radioactive waste.",,,,,,
"All of the pipelines, pump stations, and wind farms have caused some ecological disruption to polar ecosystems.",,,,,,
I'm not surprised...,,,,,,
The ecological education initiative is going great!,,,,,,
People are learning about their local ecology and finding better ways of interacting and relating to the life around them.,,,,,,
This policy has opened up vast new reserves of oil for us to use.,,,,,,
"It's dirtier, and worse for neighbouring wildlife...",,,,,,
but we have enough to last for a while now.,,,,,,
We are all soy boys now,,,,,,
I worry that you have a tendency to go too far with your plans...,,,,,,
Surely there is a way,,,,,,
"I mean, couldn't I just get an electric version?",,,,,,
Electrifying automobiles significantly decreased transport emissions and did wonders for urban air pollution...,,,,,,
Maybe you should reconsider the dominance of cars in our public infrastructure?,,,,,,
"...but at a high cost in electricity and lithium, without doing anything to improve transportation access or traffic deaths.",,,,,,
Finally! This moment couldn't come any sooner.,,,,,,
The success of this initiative will depend on our ability to offer equitable alternative livelihoods for people who work in the wildlife trade.,,,,,,
How does one define 'exotic'? My family has bred bettas for many years. Now we are forced onto the black market.,,,,,,
"Hempcrete locked in a fair amount of carbon, but there are a few applications where it can't compete with conventional concrete.",,,,,,
"We'll use it where we can, but it won't entirely replace old-fashioned concrete.",,,,,,
Unfortunate that more children are being created but at least we can teach them the way.,,,,,,
It took some time...,,,,,,
...but people have come around to seeing that a low-energy lifestyle doesn't mean giving up a good quality of life.,,,,,,
We weren't able to find a refrigerant that checked off all the boxes...,,,,,,
"Some had health and safety risks, some were less efficient, some had further environmental issues or were themselves potent greenhouse gases...",,,,,,
It's not the most efficient though.,,,,,,
"Though funnily enough, we settled on R-744 (carbon dioxide) as a natural refrigerant.",,,,,,
What a relief that we finally have access to basic reproductive healthcare.,,,,,,
I can't believe it took a literal revolution for that to happen.,,,,,,
This idea has gained popularity amongst my peers but it's a slippery slope.,,,,,,
"The economist of 'spaceship Earth', Kenneth Boulding, proposed this idea decades ago.",,,,,,
...but this policy *is* useful in slowing population growth.,,,,,,
I can't say that I feel *great* about tradeable birth permits...,,,,,,
"Paul Ehrlich calls it a 'fascinating but dumb idea', but it has potential to return some species, like the Iberian Ibex.",,,,,,
The religious scientific community is making great strides to recreate the exact species that would have been on Noah's ark.,,,,,,
"Deserts reflect more sunlight than bush, and the increased solar absorption has led to temperature increase. ",,,,,,
"Deserts reflect more sunlight than bush, and the increased solar absorption has led to temperature increase. ",,,,,,
"This game is not only fun, but I learnt about the about the interdependencies between the economy and biosphere.",,,,,,
"One day I want to become a planetary planner, just like you!",,,,,,
Old scraps are transformed—through practices of care and attention—into nutrient-rich new soil. What a great metaphor for how we can survive this era.,,,,,,
I can't believe people ever made a sport of killing things.,,,,,,
Glad we can finally get rid of that barbaric practice.,,,,,,
"Well, whether you agree with that or not, this is still a big improvement.",,,,,,
"If you ask me, no one should be allowed to do it, no matter its cultural importance.",,,,,,
We've worked out several of the technical issues that made floating wind turbines difficult.,,,,,,
"They still require quite a bit of maintenance and repair, but it's good to have more options for energy production.",,,,,,
"The rapid circulation of goods dropped after the revolution, but oceanic shipping is still a major activity.",,,,,,
I'm happy to see it's a bit better for the planet now!,,,,,,
More cetaceans and pinnipeds have been spotted!,,,,,,
"I love riding my bike, but I almost never did it because I was so afraid of being hit by a car.",,,,,,
Now that the bike paths have improved it's much safer and more pleasant.,,,,,,
"And with how walkable cities have become, I don't even need to take my bike half the time.",,,,,,
It's amazing that we can now diagnose specialized issues like species decline in a matter of minutes instead of years.,,,,,,
"Well for example, our fish population had a sudden decline and we found that it was due to cooler temperatures attracting more predators in the area.",,,,,,
Our children will become the Prometheans of tomorrow!,,,,,,
"Whoa, I just had a vision...",,,,,,
...did you see it too?,,,,,,
It was so detailed...was it a message from beyond the stars?,,,,,,
"Waiting, waiting...",,,,,,
...still no response...,,,,,,
We weren't able to develop any consistent way of seeding clouds...,,,,,,
We managed to develop a decent method for cloud seeding.,,,,,,
This should help prevent drought-induced crop failures.,,,,,,
I can't say no to rain on-demand,,,,,,
"It's not that we can make it rain on command, but we can nudge the probabilities in our favor.",,,,,,
"So many places are gradually becoming themselves again, after decades of exploitation and neglect.",,,,,,
It's a beautiful sight to behold.,,,,,,
"Maybe we should call burgers made from these cows ""low-methane burgers"" what do you think?",,,,,,
"If I can eat more burgers, then sure!",,,,,,
"While algae additives reduced enteric methane emissions from cattle farming, its effect was limited to the feedlot stage.",,,,,,
The uptick in seaweed farms has also increased pressure on coastal ecosystems.,,,,,,
Development of hydrogen technology led to fuel cell adaptations allowing much lighter electric aircraft.,,,,,,
Weight limitations of lithium batteries limited their ability to carry commercial aircraft long distances.,,,,,,
Desalination brine is getting pumped back into the ocean...,,,,,,
And desalination takes up a lot of power!,,,,,,
At least now we can irrigate our crops again.,,,,,,
This is a disaster.,,,,,,
Coastal species are not equipped to adjust to the immediate change in salinity caused by the release of brine into the area.,,,,,,
I think we've worked out the last kinks that prevented us from scaling up BECCS.,,,,,,
"Looks like I should start clearing some land, we're gonna need it for all those new tree plantations.",,,,,,
I love these new perennials...saves me a lot of work.,,,,,,
"Don't need to worry about replanting them every year, or messing up my soil...",,,,,,
Any change where I have to work less is a welcome one.,,,,,,
Processes,0,,0,0,,Y
Petroleum Power Gen,Energía de petróleo,,,,,
Organic Livestock Ag,Ganaderia ecológica,,,,,
Concentrated Solar Power,Solar de concentración,,,,,
Smallholder Farms,Agricultura de pequeña escala,,,,Not direct translation to spanish,
Floating Wind Turbines,Eólica marina,,,,,
Petroleum,Petróleo,,,,,
Solar PV,Fotovoltaica,,,,,
Green Hydrogen,Hidrógeno verde,,,,,
Natural Gas,Gas natural,,,,,
Hydropower,Hidroeléctrica,,,,,
Blue Hydrogen,Hidrógeno azul,,,,,
Nuclear Power,Energía nuclear,,,,,
Terrestrial Wind Power,Energía eólica terrestre,,,,,
Biofuels,Biocombustibles,,,,,
Cellular Meat,Carne artificial,,,,,
Organic Crop Ag,Agricultura ecológica,,,,,
Grey Hydrogen,Hidrógeno gris,,,,,
Thorium Nuclear Power,Energía nuclear de torio,,,,,
Natural Gas Power Gen,Energía de gas natural,,,,,
Coal,Carbón,,,,,
Vertical Farming,Cultivo vertical,,,,,
Coal Power Generation,Energía de carbón ,,,,,
Algae Biofuels,Biocombustible de algas,,,,,
Industrial Livestock Ag,Ganaderia industrial,,,,,
Geothermal,Geotérmica,,,,,
Fast-Breeder Nuclear Power,Energía de reactor nuclear reproductor,,,,,
Industrial Crop Ag,Agricultura industrial,,,,,
BECCS,BECCS,,,,,
Nuclear Fusion,Fusión nuclear,,,,,
Process Descriptions,0,,29,0,,Y
"Produced from methane (CH4), split with steam into CO2 – the main culprit for climate change – and H2, hydrogen. Grey hydrogen has increasingly been produced also from coal, with significantly higher CO2 emissions per unit of hydrogen produced.","Producido a partir de metano (CH4), dividido con vapor en CO2, el principal culpable del cambio climático, y H2, hidrógeno. Cada vez más, el hidrógeno gris también se produce a partir del carbón, con emisiones de CO2 significativamente más altas por unidad de hidrógeno producido.",,Y,,,
"Methane is the 'cleanest' fossil fuel one can use for electrical production, but it is not without its costs. ","El metano es el combustible fósil 'más limpio' que se puede usar para la producción de electricidad, pero tiene sus costos.",,Y,,,
"Renewable resource, derived from biomass—wood, crop residues, sugar, corn, or miscanthus.

Has a low power-density and thus takes up great swathes of land.","Recurso renovable, derivado de la biomasa: madera, residuos de cultivos, azúcar, maíz o miscanthus.

Tiene una baja densidad de potencia y, por lo tanto, ocupa grandes extensiones de tierra.",,Y,,,
"Produce electricity by burning coal in a boiler to produce steam. The steam produced, under pressure, flows into a turbine, which spins a generator to create electricity.","Produce electricidad quemando carbón en una caldera para producir vapor. El vapor producido, bajo presión, fluye hacia una turbina, que hace girar un generador para generar electricidad.",,Y,,,
Nuclear fuel made from both uranium and thorium.,Combustible nuclear hecho de uranio y torio.,,Y,,,
Photovoltaic (PV) devices generate electricity directly from sunlight via an electronic process using semiconductors.,Los dispositivos fotovoltaicos (PV) generan electricidad directamente de la luz solar a través de un proceso electrónico que utiliza semiconductores.,,Y,,,
"Cells are harvested from animals, cultured to multiply to create muscle tissue.","Las células se recolectan de animales, se cultivan para multiplicarse y crear tejido muscular.",,Y,,,
"Also known as ""factory farming""  designed to maximize production, while minimizing costs. Uses hormones and vaccines to produce consistent product. Animals are kept in confinement for most of their lives.","También conocida como ""granja industrial"" diseñada para maximizar la producción y minimizar los costos. Utiliza hormonas y vacunas para producir un producto consistente. Los animales se mantienen en confinamiento durante la mayor parte de sus vidas.",,Y,,,
"Large-scale, intensive production of crops and animals, often involving chemical fertilizers on crops. ","Producción intensiva a gran escala de cultivos y animales, a menudo con fertilizantes químicos en los cultivos.",,Y,,,
"Livestock is allowed year-round access to the outdoors, raised on certified organic land and  per animal health and welfare standards.","El ganado tiene acceso al aire libre durante todo el año, criado en tierras orgánicas certificadas y de acuerdo con los estándares de salud y bienestar animal.",,Y,,,
"Geothermal energy uses the heat from the Earth's core, which is as hot as the surface of the sun. Currently, power plants can only gather such heat from permeable rock not far from the surface. The number of easy to identify and tap sites is limited. Produces a steady source of power useful to baseload power generation.","Geothermal energy uses the heat from the Earth's core, which is as hot as the surface of the sun. Currently, power plants can only gather such heat from permeable rock not far from the surface. The number of easy to identify and tap sites is limited. Produces a steady source of power useful to baseload power generation.",,Y,,,
Produced by nuclear fission of uranium and plutonium in power plants.,Producido por fisión nuclear de uranio y plutonio en centrales eléctricas.,,Y,,,
"Grows fast and produces oils that can be refined into different biofuels, including jet and diesel fuels and produces sugars useful for making butanol and ethanol.","Crece rápido y produce aceites que se pueden refinar en diferentes biocombustibles, incluidos combustibles para aviones y diesel, y produce azúcares útiles para producir butanol y etanol.",,Y,,,
Automated indoor vertical farming. Requires  less water but relies on lights not the sun. Potential to  bring fresh foods directly into communities.,"Agricultura vertical interior automatizada. Requiere menos agua pero depende de las luces, no del sol. Potencial para llevar alimentos frescos directamente a las comunidades.",,Y,,,
Uses mirrors to concentrate the sun's energy to drive traditional steam turbines or engines that create electricity.,Utiliza espejos para concentrar la energía del sol para impulsar turbinas de vapor tradicionales o motores que generan electricidad.,,Y,,,
Generate electricity by burning natural gas as fuel.,Generar electricidad quemando gas natural como combustible.,,Y,,,
Burn oil to create heat which is in turn used to generate steam to drive turbines which generate electricity.,"Quema petróleo para generar calor que, a su vez, se utiliza para generar vapor para impulsar turbinas que generan electricidad.",,Y,,,
"In coal-fired power plants, bituminous coal, subbituminous coal, or lignite is burned. The heat produced by the combustion of the coal is used to convert water into high-pressure steam, which drives a turbine, which produces electricity.","En las centrales eléctricas de carbón, se quema carbón bituminoso, carbón subbituminoso o lignito. El calor producido por la combustión del carbón se utiliza para convertir el agua en vapor a alta presión, que impulsa una turbina que produce electricidad.",,Y,,,
Hydrogen produced by splitting water into hydrogen and oxygen using renewable electricity.,Hidrógeno producido al dividir el agua en hidrógeno y oxígeno utilizando electricidad renovable.,,Y,,,
Offshore wind turbines mounted on a floating structure that allowing the turbine to generate electricity on water where terrestrial is not possible.,Turbinas eólicas marinas montadas sobre una estructura flotante que permite que la turbina genere electricidad en el agua donde la energía terrestre no es posible.,,Y,,,
Uses the natural flow of moving water to generate electricity.,Utiliza el flujo natural de agua en movimiento para generar electricidad.,,Y,,,
"No synthetic fertilizers and pesticides. Uses fertilizers of organic origin such as compost manure, green manure, and bone meal.","Sin fertilizantes sintéticos y pesticidas. Utiliza fertilizantes de origen orgánico como estiércol de compost, abono verde y harina de huesos.",,Y,,,
"Grow biofuels, burn them for energy, then capture and store the CO2 emitted.","Cultive biocombustibles, quémelos para obtener energía, luego capture y almacene el CO2 emitido.",,Y,,,
"Produces kerosene, home heating oil, diesel fuel, and gasoline using petroleum.","Produce queroseno, aceite para calefacción doméstica, combustible diésel y gasolina a partir del petróleo.",,Y,,,
"Follows the same process as grey, with the additional technologies necessary to capture the CO2 produced when hydrogen is split from methane (or from coal) and store it for long term.","Sigue el mismo proceso que grey, con las tecnologías adicionales necesarias para capturar el CO2 producido cuando el hidrógeno se separa del metano (o del carbón) y almacenarlo a largo plazo.",,Y,,,
Land-based wind energy technologies harness kinetic energy from the wind to generate electricity.,Las tecnologías de energía eólica terrestres aprovechan la energía cinética del viento para generar electricidad.,,Y,,,
"Peasants tending small farms (<2 Ha) for subsistence production. These small farms produce a large share of the world's crops with relatively few environmental costs, but require more labour than industrial agriculture.","Campesinos que cuidan pequeñas fincas (<2 Ha) para la producción de subsistencia. Estas pequeñas granjas producen una gran parte de los cultivos del mundo con costos ambientales relativamente bajos, pero requieren más mano de obra que la agricultura industrial.",,Y,,,
"Harness the power of suns, and build utopia with it.",Aprovecha el poder de los soles y construye una utopía con él.,,Y,,,
Generated from a reactor that uses nuclear waste as fuel. Theoretically uses U-238 as fuel and produces plutonium-239 as waste.,Generado a partir de un reactor que utiliza residuos nucleares como combustible. Teóricamente utiliza U-238 como combustible y produce plutonio-239 como desecho.,,Y,,,
Outputs,0,,0,0,,Y
Electricity,Electricidad,,,,,
Fuel,Combustible,,,,,
Animal Calories,Calorías Animales,,,,,
Plant Calories,Calorías Vegetales,,,,,
NPCs,0,,0,0,,Y
The Utopian,Utópica,,,,,
The Animal Liberationist,Antiespecista,,,,,
The Malthusian,Maltusiano,,,,,
The Consumerist,Consumista,,,,,
The Posadist,Posadista,,,,,
The Accelerationist,Aceleracionista,,,,,
The Fanonist,Fanonista,,,,,
The Environmentalist,Ecologista,,,,,
The Ecofeminist,Ecofeminista,,,,,
The Authoritarian,Autoritario,,,,,
NPC Likes/Dislikes,0,,0,0,,Y
"Poetry, stained glass, sci-fi, lost causes, sentimentality","La poesía, las vidrieras, la ciencia ficción, las causas perdidas, el sentimentalismo",,,,,
"Ugly architecture, industrial wastelands, practicality, shoddy goods","La arquitectura fea, los páramos industriales, la practicidad y los productos de mala calidad",,,,,
"Drum 'n' bass, Wal-Mart [socialist], fragment on machines, asteroid mining","El Drum 'n' bass, el Wal-Mart (socialista), fragmento en máquinas, minería de asteroides",,,,,
"Fancy bicycles, hiking, bird-watching, granola, sandals, philanthropists","Las bicicletas elegantes, las caminatas, la observación de aves, el muesli, las sandalias, los filántropos",,,,,
"Shiny leather boots, cults of personality, daddy issues","Las botas de cuero brillante, los cultos a la personalidad, los daddy issues",,,,,
"Peter Singer, bad puns, veganizing things, punk music","Peter Singer, los juegos de palabras malos, veganizar cosas, la música punk",,,,,
"Kindergartens, William Godwin, space nonsense, people trying to get into their lifeboats","Los jardines de infantes, William Godwin, tonterías espaciales, la gente tratando de subirse a sus botes salvavidas",,,,,
"Racism, authoritarianism, colonial Manichaenism","El racismo, el autoritarismo, el maniqueísmo colonial",,,,,
"Energy drinks, plastic bags, ATVs, outdoor cats, Karl Marx","Las bebidas energéticas, las bolsas de plástico, los vehículos todo terreno, los gatos al aire libre, Karl Marx",,,,,
"Luxury cruises, straws, Black Friday, the TV show 'Friends'","Los cruceros de lujo, las pajitas, el Black Friday, el programa de TV ""Friends""",,,,,
"Bureaucracy, being called 'Trotskyites'","La burocracia, que les llamen ""trotskistas""",,,,singular o plural?,
"Patriarchy, mechanistic worldviews, reply guys, Francis Bacon","El patriarcado, las cosmovisiones mecanicistas, los trolls de internet, Francis Bacon",,,,,
"UFOs, dolphins, water-birthing, telekinesis","Los OVNIs, los delfines, los partos en el agua, la telequinesis",,,,,
"Lifeboats, nature, borders, famines","Los botes salvavidas, la naturaleza, las fronteras, las hambrunas",,,,,
"Farmers' markets, sentimentality, Wal-Mart [capitalist], wilderness","Los mercados de agricultores, el sentimentalismo, el Wal-Mart (capitalista), la naturaleza salvaje",,,,,
"Zoos, bacon, fur, honey (?) ","Los zoos, el tocino, el pelaje, la miel (?)",,,,,
"Freedom, dissent, improvisational jazz","La libertad, la disidencia, el jazz de improvisación",,,,,
"Lichen, composting, Ursula Le Guin, tardigrades","El liquen, el compostaje, Ursula Le Guin, los tardígrados",,,,,
"Psychoanalysis, internationalism, poetry, revolution","El psicoanálisis, el internacionalismo, la poesía, la revolución",,,,,
"Bicycle lanes, vegans, the greater good","Los carriles para bicicletas, el veganismo, el bien común",,,,,
NPC Effects,0,,0,0,,Y
You won't lose if contentedness dips below 0.,No perderás si la satisfacción cae por debajo de 0.,,,,,
"Food, Agriculture, and Protection projects are cheaper.","Los proyectos de alimentación, agricultura y protección son más baratos.",,,,,
