English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
You hear that?,คุณได้ยินเสียงนั่นไหม?,,คุณได้ยินไหม?,,,
...just the sweet hum of electricity.,...เสียงฮัมเพลงเพราะพริ้งของกระแสไฟฟ้าน่ะ,,... แค่คร่ำครวญของกระแสไฟฟ้า,,,
"No more roaring and rattling of engines, the sputtering and belching of combustion...",ไม่มีเสียงคำรามและเสียงเครื่องยนต์ดังอีกต่อไป ทั้งเสียงปะทุและเสียงพ่นควันของการเผาไหม้...,,ไม่มีคำรามและเครื่องยนต์อีกต่อไปการสปัตเตอร์และการเผาไหม้ของการเผาไหม้ ...,,,
...music to my ears.,...เสียงเพลงเสนาะหู,,... ดนตรีถึงหูของฉัน,,,
I love watching old shows that I've already seen a dozen times.,ฉันชอบดูรายการเก่า ๆ ที่ดูไปหลายสิบรอบแล้ว,,ฉันชอบดูรายการเก่า ๆ ที่ฉันเคยเห็นมาแล้วหลายครั้ง,,,
Something about it makes me feel comforted by the nostalgia.,มันทำให้ฉันรู้สึกนึกหวนถึงความหลัง,,บางอย่างเกี่ยวกับมันทำให้ฉันรู้สึกสบายใจกับความคิดถึง,,,
Droughts aren't nearly as devastating as they once were thanks to these new varieties.,ความแห้งแล้งไม่ได้รุนแรงอย่างที่เคยเป็นมาแล้วด้วยพื้ชพันธุ์ใหม่เหล่านี้,,ภัยแล้งไม่ได้ทำลายล้างเกือบเท่าที่เคยมีมาขอบคุณสายพันธุ์ใหม่เหล่านี้,,,
Glad I can rest a bit easier now.,ฉันดีใจที่ฉันสามารถพักผ่อนได้ง่ายขึ้นแล้ว,,ดีใจที่ฉันได้พักผ่อนได้ง่ายขึ้นนิดหน่อย,,,
They're especially welcome in regions normally at high risk for water shortages.,พวกเขาจะถูกต้อนรับขับสู้เป็นพิเศษเลยในภูมิภาคที่ปกติแล้วมีความเสี่ยงสูงต่อการขาดแคลนน้ำ,,พวกเขายินดีเป็นพิเศษในภูมิภาคที่มีความเสี่ยงสูงสำหรับการขาดแคลนน้ำ,,,
"The first DAC installations are up and running, and sucking carbon out of the air.",ตัวแปลงสัญญานไฟฟ้าดิจิทัลตัวแรกแรกเปิดทำงานและกำลังดูดคาร์บอนออกจากอากาศอยู่,,การติดตั้ง DAC ครั้งแรกนั้นเปิดใช้งานและดูดคาร์บอนออกจากอากาศ,,,
"It's not a huge amount though, and it needs a lot of energy.",ที่มีอยู่มันไม่ได้มีเยอะ แถมต้องใช้พลังงานมาก,,มันไม่ได้เป็นจำนวนมากและมันต้องการพลังงานมาก,,,
"You can expand the DAC capacity in the planning tool, if you want.",คุณสามารถเพิ่มความสามารถตัวแปลงสัญญาณในเครื่องมือวางแผนได้หากต้องการ,,คุณสามารถขยายความจุ DAC ในเครื่องมือการวางแผนหากคุณต้องการ,,,
The Food Waste Campaign has been very successful!,โครงการลดขยะจากอาหารประสบความสำเร็จอย่างมาก!,,แคมเปญของเสียอาหารประสบความสำเร็จอย่างมาก!,,,
We have a reliable stream of extra organic material too.,เรามีแหล่งวัสดุออร์แกนิกพิเศษที่เชื่อถือได้เช่นกัน,,เรามีกระแสสารอินทรีย์พิเศษที่เชื่อถือได้เช่นกัน,,,
"We could process this into biomaterials, such as crichton from crab shells, and streamline the process for large scale production.",เราสามารถแปรรูปสิ่งนี้เป็นวัสดุชีวภาพได้ เช่น องค์ประกอบจากเปลือกปู และปรับปรุงกระบวนการผลิตสำหรับการผลิตขนาดใหญ่,,เราสามารถประมวลผลสิ่งนี้เป็นวัสดุชีวภาพเช่น crichton จากเปลือกปูและปรับปรุงกระบวนการสำหรับการผลิตขนาดใหญ่,,,
The new curriculum instills children with a sense of compassion for all human and non-human animals.,หลักสูตรใหม่ปลูกฝังให้เด็ก ๆ มีความรู้สึกเห็นอกเห็นใจต่อสัตว์ทั้งที่เป็นมนุษย์และไม่ใช่มนุษย์,,หลักสูตรใหม่ปลูกฝังเด็ก ๆ ด้วยความเห็นอกเห็นใจสำหรับสัตว์มนุษย์และไม่ใช่มนุษย์ทุกคน,,,
We've seen modest CO2 emission reductions by adapting lower impact production processes.,เราพบว่าการปรับกระบวนการผลิตเล็กน้อยช่วยลดการปล่อยก๊าซคาร์บอนไดออกไซด์ได้,,เราได้เห็นการลดการปล่อยก๊าซคาร์บอนไดออกไซด์เล็กน้อยโดยการปรับกระบวนการผลิตผลกระทบที่ลดลง,,,
We have turned night into day! We can control the Earth like an artifact.,เราได้เปลี่ยนกลางคืนเป็นกลางวัน! เราสามารถควบคุมโลกได้เหมือนกับสิ่งประดิษฐ์,,เราได้เปลี่ยนเป็นคืนเป็นวัน! เราสามารถควบคุมโลกเหมือนสิ่งประดิษฐ์,,,
Batteries are a tricky thing. They've heavy and material intensive.,แบตเตอรี่เป็นสิ่งที่ยุ่งยาก มันทั้งหนักและต้องใช้วัสดุมาก,,แบตเตอรี่เป็นสิ่งที่ยุ่งยาก พวกเขามีความเข้มข้นและวัสดุที่เข้มข้น,,,
That means we can use batteries in a lot of places that we couldn't before.,นั่นหมายความว่าเราสามารถใช้แบตเตอรี่ได้ในหลาย ๆ จุดที่ไม่เคยสามารถใช้ได้มาก่อน,,นั่นหมายความว่าเราสามารถใช้แบตเตอรี่ในสถานที่มากมายที่เราไม่เคยทำได้มาก่อน,,,
"But we've figured out a few ways to make them more economical, and lighter too.",แต่เราได้ค้นพบวิธีบางอย่างในการทำให้ประหยัดมากขึ้นและเบาลงด้วย,,แต่เราได้คิดหาวิธีสองสามวิธีที่จะทำให้พวกเขาประหยัดมากขึ้นและเบาลงเช่นกัน,,,
"The new global recycling program has helped keep plastic out of the ocean, as well as other ecosystems.",โครงการรีไซเคิลระดับโลกครั้งใหม่ได้ช่วยป้องกันพลาสติกออกจากมหาสมุทร รวมถึงระบบนิเวศอื่น ๆ ด้วย,,โปรแกรมการรีไซเคิลระดับโลกใหม่ได้ช่วยป้องกันพลาสติกออกจากมหาสมุทรรวมถึงระบบนิเวศอื่น ๆ,,,
It also made the world a bit nicer to live in for humans.,นอกจากนี้ยังทำให้โลกน่าอยู่ขึ้นอีกเล็กน้อยสำหรับมนุษย์,,มันทำให้โลกนี้ดีขึ้นเล็กน้อยที่จะอยู่เพื่อมนุษย์,,,
The elderly folks in my town love hanging out around the drop off facilities making sure people put the correct recyclables in the right bin.,ผู้สูงอายุในเมืองของฉันชอบออกเดินเล่นรอบ ๆ จุดทิ้งขยะเพื่อให้แน่ใจว่าผู้คนทิ้งขยะรีไซเคิลลงในถังขยะที่ถูกต้อง,,ผู้สูงอายุในเมืองของฉันชอบที่จะออกไปเที่ยวรอบ ๆ สิ่งอำนวยความสะดวกเพื่อให้แน่ใจว่าผู้คนวางรีไซเคิลที่ถูกต้องในถังขยะที่ถูกต้อง,,,
"We don't put people in cages anymore, so why do we still think it's ok for animals?",เราไม่ขังคนไว้ในกรงอีกต่อไปแล้ว ฉะนั้นทำไมเราถึงยังคิดว่ามันเป็นสิ่งที่รับได้สำหรับสัตว์ด้วย?,,เราไม่ใส่คนในกรงอีกต่อไปดังนั้นทำไมเรายังคิดว่ามันโอเคสำหรับสัตว์?,,,
I say good riddance to those horrendous institutions of suffering.,ฉันขอให้ยกเลิกสถานทวีทุกข์อันน่าสยดสยองพวกนั้นเสีย,,ฉันพูดว่าดีกับสถาบันที่น่ากลัวเหล่านั้น,,,
"It was quite the undertaking, and an incredibly complex project, but it was worth it in the end.",มันเป็นงานที่ค่อนข้างยากและเป็นโครงการที่ซับซ้อนอย่างไม่น่าเชื่อ แต่สุดท้ายมันก็คุ้มค่า,,มันค่อนข้างกิจการและโครงการที่ซับซ้อนอย่างไม่น่าเชื่อ แต่มันก็คุ้มค่าในที่สุด,,,
"I can sleep soundly tonight knowing that no animal is at risk of being hunted, whether by humans or by other animals.",คืนนี้ฉันสามารถนอนหลับสบายโดยรู้ว่าไม่มีสัตว์ตัวใดที่เสี่ยงต่อการถูกล่า ไม่ว่าจะโดยมนุษย์หรือสัตว์อื่นก็ตาม,,คืนนี้ฉันสามารถนอนหลับได้อย่างดีโดยรู้ว่าไม่มีสัตว์ที่เสี่ยงต่อการถูกล่าไม่ว่าจะโดยมนุษย์หรือสัตว์อื่น ๆ,,,
We've been able to collect much more dynamic data about how the Earth is changing after establishing new kinds of studies.,เราสามารถรวบรวมข้อมูลแบบไดนามิกเกี่ยวกับการเปลี่ยนแปลงของโลกมากขึ้นหลังจากที่มีการศึกษาในรูปแบบใหม่ ๆ,,เราสามารถรวบรวมข้อมูลแบบไดนามิกได้มากขึ้นเกี่ยวกับวิธีการเปลี่ยนแปลงของโลกหลังจากสร้างการศึกษารูปแบบใหม่,,,
"The city air feels fresher somehow, you know?",อากาศในเมืองรู้สึกสดชื่นขึ้นนะรู้ไหม?,,อากาศในเมืองรู้สึกสดชื่นขึ้นคุณรู้ไหม?,,,
...and these new systems are clogging up the roads and make driving a pain.,...และระบบใหม่เหล่านี้กำลังอุดตันถนนและทำให้การขับขี่ลำบาก,,... และระบบใหม่เหล่านี้อุดตันถนนและทำให้ความเจ็บปวดขับรถ,,,
(even though I don't use it myself),(ถึงแม้ฉันจะไม่ได้ใช้เองก็ตาม),,(แม้ว่าฉันจะไม่ใช้มันเอง),,,
Well I'm all for public transit...,ฉันสนับสนุนขนส่งสาธารณะสุดกำลัง,,ฉันทั้งหมดสำหรับการขนส่งสาธารณะ ...,,,
Communities affected most by highway infrastructure are experiencing less air pollution and increased health.,ชุมชนที่ได้รับผลกระทบจากโครงสร้างพื้นฐานทางหลวงส่วนใหญ่ประสบปัญหามลพิษทางอากาศน้อยลงและมีสุขภาพที่ดีขึ้น,,ชุมชนที่ได้รับผลกระทบส่วนใหญ่จากโครงสร้างพื้นฐานทางหลวงกำลังประสบมลพิษทางอากาศน้อยลงและสุขภาพที่เพิ่มขึ้น,,,
I guess less people are driving now that public transit is so convenient.,ฉันเดาว่าตอนนี้คนขับรถน้อยลงเพราะการขนส่งสาธารณะสะดวกมาก,,ฉันเดาว่าคนอื่นกำลังขับรถอยู่ในขณะนี้ว่าระบบขนส่งสาธารณะนั้นสะดวกมาก,,,
I feel way less guilty about eating meat now!,ตอนนี้ฉันรู้สึกผิดน้อยลงกับการกินเนื้อสัตว์แล้ว!,,ฉันรู้สึกผิดน้อยลงเกี่ยวกับการกินเนื้อสัตว์ตอนนี้!,,,
This is a bunch of incrementalist garbage!,นี่มันแนวคิดพวกหัวเก่าแสนเหลวไหลชัด ๆ!,,นี่คือขยะที่เพิ่มขึ้น!,,,
Slaughterhouse jobs have also gotten much less grim.,โรงฆ่าสัตว์มีเรื่องเลวร้ายน้อยลงเช่นกัน,,งานโรงฆ่าสัตว์ก็น่ากลัวน้อยลงเช่นกัน,,,
"A bigger cage is still a cage, and a death sentence still a death sentence!",กรงที่ใหญ่กว่าก็ยังเป็นกรง และโทษประหารชีวิตก็ยังเป็นโทษประหารชีวิต!,,กรงที่ใหญ่กว่ายังคงเป็นกรงและประโยคประหารชีวิตยังคงเป็นโทษประหารชีวิต!,,,
"But it's gotten harder to find meat, which I'm not happy about.",แต่มันจะหาเนื้อสัตว์ได้ยากขึ้น ซึ่งฉันไม่ค่อยพอใจนัก,,แต่มันยากที่จะหาเนื้อสัตว์ซึ่งฉันไม่มีความสุข,,,
Slaughterhouse jobs are better now,งานโรงฆ่าสัตว์ดีขึ้นแล้ว,,งานโรงฆ่าสัตว์ดีขึ้นในขณะนี้,,,
These robots are...ok.,หุ่นยนต์พวกนี้ก็...โอเคอยู่,,หุ่นยนต์เหล่านี้ ... โอเค,,,
"But they've freed up some time, so I'm happy about that.",แต่พวกเขาก็ถูกปล่อยมาระยะหนึ่งแล้ว ฉันจึงพอใจอยู่บ้าง,,แต่พวกเขาได้ปลดปล่อยเวลาบางครั้งดังนั้นฉันจึงมีความสุขกับเรื่องนั้น,,,
"They still can't handle a lot of environmental conditions encountered on a farm, but they've found some consistent uses.",พวกเขายังคงไม่สามารถจัดการกับสภาพแวดล้อมส่วนใหญ่ที่พบในฟาร์มได้ แต่พวกเขาพบว่ามีการใช้งานที่พอรับได้บ้าง,,พวกเขายังไม่สามารถจัดการกับสภาพแวดล้อมที่พบในฟาร์มได้มาก แต่พวกเขาพบว่ามีการใช้งานที่สอดคล้องกัน,,,
"Nothing compared to my AI, but I don't have to manipulate delicate plants or tread through muddy soil!",ไม่มีอะไรเทียบได้กับปัญญาประดิษฐ์ของฉันได้ แต่ฉันไม่จำเป็นต้องจัดการกับพืชที่บอบบางหรือเหยียบย่ำดินโคลน!,,ไม่มีอะไรเทียบกับ AI ของฉัน แต่ฉันไม่ต้องจัดการพืชที่ละเอียดอ่อนหรือเหยียบย่ำผ่านดินโคลน!,,,
And they kill *a lot* of bugs and other critters...,และพวกมันฆ่าแมลงและสัตว์อื่น ๆ *มากมาย*...,,และพวกเขาฆ่า * จำนวนมาก * ของข้อบกพร่องและสัตว์เลื้อยคลานอื่น ๆ ...,,,
Success!,สำเร็จ!,,ความสำเร็จ!,,,
"It was always 20 years in the future, and it seems like it actually was.",ต้องใช้เวลาอีก 20 ปีข้างหน้าเสมอ และดูเหมือนว่าจะเป็นแบบนี้ตลอด,,มันเป็นเวลา 20 ปีในอนาคตเสมอและดูเหมือนว่ามันเป็นจริง,,,
"It's not *free* energy, but it's a lot better than what we had before.",ไม่ใช่พลังงาน *ฟรี* แต่มันดีกว่าที่เราเคยมีมามาก,,มันไม่ใช่พลังงาน * ฟรี * แต่มันดีกว่าที่เราเคยมีมาก่อน,,,
Our research has failed.,การวิจัยของเราล้มเหลว,,การวิจัยของเราล้มเหลว,,,
Fusion power might never become a reality...,พลังฟิวชั่นอาจไม่มีวันเป็นจริงได้...,,พลังฟิวชั่นอาจไม่กลายเป็นความจริง ...,,,
"The experiment succeeded in drawing down carbon from the atmosphere, but it had an uninteded side-effect...",การทดลองการดึงคาร์บอนออกจากชั้นบรรยากาศประสบความสำเร็จ แต่มีผลข้างเคียงที่ไม่พึงปรารถนาอยู่...,,การทดลองประสบความสำเร็จในการวาดคาร์บอนจากชั้นบรรยากาศ แต่มันมีผลข้างเคียงที่ไม่ได้พิมพ์ ...,,,
"The rotting algae formed anoxic dead zones on the abyssal plains, killing much ocean life...",สาหร่ายที่เน่าเปื่อยทำให้เกิดเขตมรณะที่เป็นพิษบนที่ราบลึก คร่าชีวิตสัตว์ทะเลไปมากมาย...,,สาหร่ายที่เน่าเปื่อยก่อให้เกิดโซนที่ตายแล้ว anoxic บนที่ราบ Abyssal ฆ่าชีวิตมหาสมุทรมาก ...,,,
"The abundance of diatoms not only sequestered carbon, but fed millions of salmon fry and other marine life. This was a great success!",ไดอะตอมที่อุดมสมบูรณ์ไม่เพียงแต่กักเก็บคาร์บอนเท่านั้น แต่ยังเป็นอาหารของปลาแซลมอนหลายล้านตัวและสัตว์ทะเลอื่น ๆ อีก นี่เป็นความสำเร็จที่ยิ่งใหญ่!,,ความอุดมสมบูรณ์ของไดอะตอมไม่เพียง แต่แยกเป็นคาร์บอนเท่านั้น แต่ยังเลี้ยงปลาแซลมอนหลายล้านคนและชีวิตทางทะเลอื่น ๆ นี่เป็นความสำเร็จที่ยิ่งใหญ่!,,,
"I suppose iron wasn't a major limiting nutrient, because the blooms of diatoms are rather minor.",ฉันคิดว่าธาตุเหล็กไม่ใช่สารอาหารสำคัญอย่างเดียว เพราะการบานของไดอะตอมนั้นค่อนข้างน้อย,,ฉันคิดว่าเหล็กไม่ได้เป็นสารอาหารที่ จำกัด ที่สำคัญเพราะบุปผาของไดอะตอมค่อนข้างน้อย,,,
Back to the drawing board!,กลับไปที่กระดานวาดเขียน!,,กลับไปที่กระดานวาดภาพ!,,,
"Demilitarization resulted in a significant drop in global emissions, as well as an increase in global outlook and untold tons of salvageable metals.",การลดกำลังทหารส่งผลให้การปล่อยก๊าซเรือนกระจกทั่วโลกลดลงอย่างมีนัยสำคัญ เช่นเดียวกับทัศนียภาพโลกที่เพิ่มขึ้นและโลหะที่สามารถกอบกู้ได้อีกนับไม่ถ้วน,,การลดทอนลงทำให้เกิดการปล่อยมลพิษทั่วโลกลดลงอย่างมีนัยสำคัญรวมถึงการเพิ่มขึ้นของแนวโน้มระดับโลกและโลหะที่เก็บรักษาได้มากมาย,,,
We're totally defenceless now...,ตอนนี้เราป้องกันตัวไม่ได้แล้ว...,,ตอนนี้เราไม่มีการป้องกันโดยสิ้นเชิง ...,,,
Don't expect me to help you when you're in a fix.,อย่าคาดหวังให้ฉันช่วยคุณเมื่อคุณอยู่ในช่วงลำบาก,,อย่าคาดหวังว่าฉันจะช่วยคุณเมื่อคุณอยู่ในการแก้ไข,,,
"I'm glad you agreed to trust me. I'll make things easier for you, but don't ask me how I do it.",ดีใจนะที่คุณตกลงจะเชื่อใจฉัน ฉันจะทำให้ทุกอย่างง่ายขึ้น แต่อย่าถามว่าฉันจะทำอย่างไรนะ,,ฉันดีใจที่คุณตกลงที่จะเชื่อใจฉัน ฉันจะทำให้สิ่งต่าง ๆ ง่ายขึ้นสำหรับคุณ แต่อย่าถามฉันว่าฉันทำอย่างไร,,,
"I know the guy who makes these beautiful wines, no sulfates, all natural.",ฉันรู้จักคนที่ทำไวน์แสนเลอค่าเหล่านี้ ไม่มีซัลเฟต และเป็นธรรมชาติทั้งหมด,,ฉันรู้ว่าผู้ชายที่ทำไวน์ที่สวยงามเหล่านี้ไม่มีซัลเฟตทั้งหมดเป็นธรรมชาติ,,,
We should go up to see his vineyard sometime.,เราควรขึ้นไปดูไร่องุ่นของเขาบ้างแล้ว,,เราควรขึ้นไปดูไร่องุ่นของเขาในบางครั้ง,,,
It's nice to have resources directed towards our countries for once.,เป็นเรื่องดีที่มีทรัพยากรมุ่งตรงไปยังประเทศของเราบ้าง,,เป็นเรื่องดีที่มีทรัพยากรที่มุ่งไปยังประเทศของเราสักครั้ง,,,
"Maybe not...but this is a gesture of good faith, at least.",อาจจะไม่...แต่อย่างน้อยนี่ก็เป็นการแสดงเจตนาดี,,อาจจะไม่ใช่ ... แต่นี่เป็นท่าทางของความเชื่อที่ดีอย่างน้อย,,,
Will it ever match the wealth that was stolen from us?,มันจะเทียบได้กับความมั่งคั่งที่ถูกขโมยไปจากเราหรือ?,,มันจะตรงกับความมั่งคั่งที่ถูกขโมยจากเราหรือไม่?,,,
I don't think the planet can sustain it!,ฉันไม่คิดว่าโลกจะสามารถรองรับมันได้!,,ฉันไม่คิดว่าโลกจะสามารถค้ำจุนได้!,,,
You do realize that not everyone can enjoy a high standard of living?,คุณรู้ใช่ไหมว่าไม่ใช่ทุกคนที่สามารถมีมาตรฐานการครองชีพที่สูงได้?,,คุณรู้หรือไม่ว่าทุกคนไม่สามารถเพลิดเพลินกับมาตรฐานการครองชีพที่สูงได้หรือไม่?,,,
What are you doing?,คุณกำลังทำอะไร?,,คุณกำลังทำอะไร?,,,
...this kind of regression isn't necessary..,...การถดถอยแบบนี้ไม่จำเป็น..,,... การถดถอยแบบนี้ไม่จำเป็น ..,,,
"...with the right technology and conditions, no one has to give anything up...",...ด้วยเทคโนโลยีและเงื่อนไขที่เหมาะสม จะไม่มีใครต้องยอมแพ้...,,... ด้วยเทคโนโลยีและเงื่อนไขที่เหมาะสมไม่มีใครต้องยอมแพ้ ...,,,
"You're supposed to make things better, not worse!",คุณควรจะทำให้สิ่งต่าง ๆ ดีขึ้นไม่ใช่แย่ลง!,,คุณควรจะทำให้สิ่งต่าง ๆ ดีขึ้นไม่เลวร้ายลง!,,,
It's about time that we recognize who the main perpetrators of all these crises are.,ถึงเวลาแล้วที่เราจะต้องตระหนักว่าใครคือผู้ที่ทำให้เกิดวิกฤตการณ์ทั้งหมดนี้,,ถึงเวลาแล้วที่เรารู้ว่าใครเป็นผู้กระทำความผิดหลักของวิกฤตการณ์เหล่านี้ทั้งหมด,,,
"With the restoration of the Satoyama forests, students and senior citizens work with farmers to plant rice and clear irrigation channels. ",ด้วยการฟื้นฟูป่าซาโตยามะ นักศึกษาและผู้สูงอายุทำงานร่วมกับเกษตรกรเพื่อปลูกข้าวและทำช่องทางชลประทานที่ชัดเจน,,ด้วยการฟื้นฟูป่า Satoyama นักเรียนและผู้สูงอายุทำงานร่วมกับเกษตรกรเพื่อปลูกข้าวและช่องทางชลประทานที่ชัดเจน,,,
We call ourselves the Matsutake Crusaders. Our co-op has been working together to condition the forest for Matsutake mushrooms to thrive again.,เราเรียกตัวเองว่าอัศวินมัตสึทาเกะ สหกรณ์ของเราได้ทำงานร่วมกันเพื่อปรับสภาพป่าเพื่อให้เห็ดมัตสึทาเกะกลับมาเจริญเติบโตอีกครั้ง,,เราเรียกตัวเองว่าพวกครูเซด Matsutake Co-op ของเราทำงานร่วมกันเพื่อกำหนดป่าสำหรับเห็ด Matsutake เพื่อเจริญเติบโตอีกครั้ง,,,
"So many more wonderful trees make habitats and store carbon, while still supporting food production.",มีต้นไม้สวยงามมากมายสร้างที่คอยสร้างอยู่อาศัยและกักเก็บคาร์บอน ในขณะที่ช่วยเสริมการผลิตอาหารไปด้วย,,ต้นไม้ที่ยอดเยี่ยมอีกมากมายสร้างที่อยู่อาศัยและเก็บคาร์บอนในขณะที่ยังคงสนับสนุนการผลิตอาหาร,,,
How exciting!,ช่างน่าตื่นเต้น!,,น่าตื่นเต้นแค่ไหน!,,,
I quite like working under the canopy...the shade's nice.,ฉันชอบทำงานใต้ร่มไม้มาก...ร่มรื่นดี,,ฉันค่อนข้างชอบทำงานภายใต้หลังคา ... ร่มเงาที่ดี,,,
I thought I would hate the inconvenience of not being able to fly...,ฉันว่าฉันต้องเกลียดความไม่สะดวกที่ไม่สามารถบินได้แน่ ๆ...,,ฉันคิดว่าฉันจะเกลียดความไม่สะดวกที่จะไม่สามารถบินได้ ...,,,
but who doesn't like trains?,แต่ใครล่ะจะไม่ชอบรถไฟ?,,แต่ใครไม่ชอบรถไฟ?,,,
"It may appear extreme to some, but sometimes you have to be a little tough with people to keep nature safe.",อาจดูสุดโต่งสำหรับบางคน แต่บางครั้งคุณต้องเข้มงวดกับผู้คนเล็กน้อยเพื่อปกป้องธรรมชาติให้ปลอดภัย,,มันอาจจะดูรุนแรงสำหรับบางคน แต่บางครั้งคุณต้องมีความยากลำบากเล็กน้อยกับผู้คนเพื่อให้ธรรมชาติปลอดภัย,,,
"Some people just don't know any better, you know what I mean?",บางคนก็ไม่รู้อะไรดีไปกว่านั้น คุณรู้ใช่ไหมว่าฉันหมายความว่ายังไง?,,บางคนไม่รู้จักอะไรที่ดีกว่าคุณรู้ว่าฉันหมายถึงอะไร?,,,
"If we've still got to combust things for energy, this is at least an improvement.",หากเรายังคงต้องเผาสิ่งต่าง ๆ ให้เป็นพลังงาน อย่างน้อยนี่ก็เป็นการพัฒนาที่ดีขึ้น,,หากเรายังคงต้องผสมสิ่งต่าง ๆ เพื่อพลังงานนี่คือการปรับปรุงอย่างน้อย,,,
Reducing energy consumption is an easy way to protect the grid and minimize environmental impact.,การลดการใช้พลังงานเป็นวิธีง่าย ๆ ในการปกป้องโครงข่ายไฟฟ้าและลดผลกระทบต่อสิ่งแวดล้อม,,การลดการใช้พลังงานเป็นวิธีที่ง่ายในการปกป้องกริดและลดผลกระทบต่อสิ่งแวดล้อม,,,
How can anyone survive on such a pathetic amount of energy?,ทุกคนสามารถอยู่รอดได้อย่างไรด้วยพลังงานอันน่าสมเพชเช่นนี้หรือ?,,ใครจะอยู่รอดได้อย่างไรกับพลังงานที่น่าสมเพชเช่นนี้?,,,
Reducing,ลด,,การลดลง,,,
These restrictions have been ridiculous!,ข้อจำกัดเหล่านี้ช่างไร้สาระ!,,ข้อ จำกัด เหล่านี้ไร้สาระ!,,,
I'm sure I won't.,ไม่ อย่างแน่นอนสำหรับฉัน,,ฉันแน่ใจว่าฉันจะไม่,,,
I've lived decently on less energy than this...I'm sure you'll get used to it.,ฉันใช้ชีวิตได้ดีโดยใช้พลังงานน้อยกว่านี้อีก...ฉันมั่นใจว่าเดี๋ยวคุณก็จะชิน,,ฉันใช้ชีวิตอย่างเหมาะสมกับพลังงานน้อยกว่านี้ ... ฉันแน่ใจว่าคุณจะชินกับมัน,,,
"Wow, we've produced more than fourteen times the usual quota this year alone.",ว้าว เราผลิตโควต้าปกติได้มากกว่าสิบสี่เท่าในปีนี้เพียงปีเดียว,,ว้าวเราได้ผลิตโควต้าปกติมากกว่าสิบสี่เท่าในปีนี้เพียงอย่างเดียว,,,
My back hurts from these long work hours. I hope it's worth it...,ฉันต้องทนปวดหลังเพราะชั่วโมงทำงานอันยาวนานนี้ ฉันหวังว่ามันจะคุ้มค่านะ...,,หลังของฉันเจ็บจากเวลาทำงานที่ยาวนานเหล่านี้ ฉันหวังว่ามันจะคุ้มค่า ...,,,
"We were able to bring back the passenger pigeon, but this quickly became an exotic poultry dish leading to its extinction again.",เราสามารถกลับมาใช้นกพิราบโดยสารได้ แต่มันกลับกลายมาเป็นอาหารสัตว์ปีกแปลกใหม่ที่นำไปสู่การสูญพันธุ์อีกครั้งอย่างรวดเร็ว,,เราสามารถนำนกพิราบผู้โดยสารกลับมาได้ แต่สิ่งนี้กลายเป็นจานสัตว์ปีกแปลก ๆ อย่างรวดเร็วซึ่งนำไปสู่การสูญพันธุ์อีกครั้ง,,,
And now I'm getting a lot of requests to use this technology for designer dogs.,และตอนนี้ฉันได้รับคำเยอะมากให้ใช้เทคโนโลยีนี้กับสุนัขลูกผสม,,และตอนนี้ฉันได้รับคำขอมากมายที่จะใช้เทคโนโลยีนี้สำหรับสุนัขดีไซเนอร์,,,
We succeeded in cloning some lost species and successfully re-introduced them into their original ecosystems.,เราประสบความสำเร็จในการโคลนนิ่งสัตว์บางชนิดที่สูญหายไปและนำพวกมันกลับคืนสู่ระบบนิเวศดั้งเดิมได้สำเร็จ,,เราประสบความสำเร็จในการโคลนสปีชีส์ที่หายไปและประสบความสำเร็จในการแนะนำพวกเขาในระบบนิเวศดั้งเดิมของพวกเขา,,,
Surprisingly there haven't been any major issues.,น่าแปลกที่ยังไม่มีประเด็นสำคัญใด ๆ,,น่าแปลกที่ไม่มีปัญหาสำคัญใด ๆ,,,
"We succeeded in cloning some lost species, but they all were either short-lived or could not survive in the wild.",เราประสบความสำเร็จในการโคลนนิ่งบางสายพันธุ์ที่สูญหายไป แต่ทั้งหมดล้วนมีอายุสั้นหรือไม่สามารถอยู่รอดในป่าได้,,เราประสบความสำเร็จในการโคลนนิ่งสายพันธุ์ที่หายไปบางชนิด แต่พวกเขาทั้งหมดมีอายุสั้นหรือไม่สามารถอยู่รอดได้ในป่า,,,
So far we've seen a modest decrease in temperatures.,จนถึงตอนนี้ เราพบว่าอุณหภูมิลดลงเล็กน้อย,,จนถึงตอนนี้เราได้เห็นอุณหภูมิลดลงเล็กน้อย,,,
I don't know how long it will last though.,ฉันไม่รู้ว่ามันจะนานแค่ไหน,,ฉันไม่รู้ว่ามันจะอยู่ได้นานแค่ไหน,,,
The temporary cooling has reversed.,การกระบวนการย้อนกลับกับการะบายความร้อนชั่วคราว,,การระบายความร้อนชั่วคราวได้กลับกัน,,,
We've shifted quite a lot of petroleum-based plastic to these new biofabrication methods.,เราได้เปลี่ยนวิธีการพลาสติกจากปิโตรเลียมขนานใหญ่มาสู่วิธีการผลิตทางชีวภาพแบบใหม่เหล่านี้,,เราได้เปลี่ยนพลาสติกที่ใช้ปิโตรเลียมเป็นจำนวนมากเป็นวิธีการทางชีวภาพแบบใหม่เหล่านี้,,,
